session,site,location,landuse,trap,species,abundance
1,AU,Malden,Forest,2,Lithobius_microps,3
1,AU,Malden,Forest,2,Schendyla_nemorensis,1
1,AX,Vaassen,Food_forest,2,Lithobius_microps,2
1,AK,Rijswijk,Forest,2,Lithobius_microps,1
1,AU,Malden,Forest,1,Lithobius_microps,9
1,AU,Malden,Forest,1,Lithobius_crassipes,2
1,AU,Malden,Forest,1,Schendyla_nemorensis,1
1,W,Swalmen,Forest,1,Lithobius_microps,1
1,P,Sint-Truiden,Food_forest,2,Lithobius_forficatus,1
1,AM,Oostwaard,Forest,1,Lithobius_microps,6
1,AM,Oostwaard,Forest,2,Lithobius_microps,1
1,C,Haarzuilens,Forest,2,Lithobius_microps,1
1,H,Boelenslaan,Food_forest,1,Lithobius_microps,3
1,AN,Oostwaard,Food_forest,2,Lithobius_forficatus,1
1,AN,Oostwaard,Food_forest,2,Lithobius_microps,9
2,AO,Etten-Leur,Food_forest,2,Lithobius_microps,5
2,AN,Oostwaard,Food_forest,2,Lithobius_forficatus,1
2,AN,Oostwaard,Food_forest,2,Lithobius_microps,1
2,AB,Nevele,Forest,2,Lithobius_microps,2
2,AK,Rijswijk,Forest,2,Lithobius_forficatus,1
2,AU,Malden,Forest,1,Lithobius_forficatus,1
2,AU,Malden,Forest,1,Schendyla_nemorensis,2
2,AU,Malden,Forest,1,Lithobius_microps,6
2,AU,Malden,Forest,1,Lithobius_crassipes,1
2,X,Swalmen,Grassland,1,Lithobius_microps,2
2,K,Boelenslaan,Forest,1,Lithobius_microps,1
2,AU,Malden,Forest,2,Lithobius_forficatus,1
2,AU,Malden,Forest,2,Schendyla_nemorensis,1
2,AU,Malden,Forest,2,Cryptops_hortensis,1
2,AU,Malden,Forest,2,Lithobius_microps,10
2,Y,Swalmen,Food_forest,2,Lithobius_microps,3
2,AT,Malden,Food_forest,1,Lithobius_forficatus,1
2,AT,Malden,Food_forest,1,Lithobius_microps,17
2,W,Swalmen,Forest,2,Lithobius_microps,4
2,F,Vlaardingen,Grassland,1,Lithobius_forficatus,1
2,X,Swalmen,Grassland,2,Lithobius_microps,1
2,C,Haarzuilens,Forest,1,Lithobius_forficatus,1
2,AJ,Rijswijk,Arable_field,1,Lamyctes_emarginatus,3
2,AB,Nevele,Forest,1,Lithobius_microps,5
2,AD,Houthulst,Food_forest,1,Lithobius_forficatus,1
2,AD,Houthulst,Food_forest,1,Lithobius_microps,3
2,AQ,Etten-Leur,Forest,1,Lithobius_microps,2
2,Z,Nevele,Food_forest,2,Lithobius_forficatus,1
2,Z,Nevele,Food_forest,2,Lithobius_microps,3
2,AD,Houthulst,Food_forest,2,Lithobius_forficatus,1
2,AD,Houthulst,Food_forest,2,Lithobius_microps,2
2,E,Vlaardingen,Forest,1,Lithobius_forficatus,1
2,E,Vlaardingen,Forest,1,Lithobius_microps,1
2,H,Boelenslaan,Food_forest,2,Lithobius_microps,12
2,Q,Sint-Truiden,Forest,2,Schendyla_nemorensis,1
2,P,Sint-Truiden,Food_forest,2,Lithobius_microps,1
3,AE,Houthulst,Grassland,2,Lithobius_forficatus,1
3,AD,Houthulst,Food_forest,2,Lithobius_microps,2
2,Z,Nevele,Food_forest,1,Lithobius_forficatus,1
2,Z,Nevele,Food_forest,1,Lithobius_microps,4
3,AJ,Rijswijk,Arable_field,2,Lamyctes_emarginatus,2
3,E,Vlaardingen,Forest,2,Lithobius_microps,1
3,AA,Nevele,Arable_field,2,Lamyctes_emarginatus,1
3,J,Boelenslaan,Food_forest,1,Lithobius_microps,2
3,AB,Nevele,Forest,2,Lithobius_microps,1
3,AL,Oostwaard,Grassland,1,Lamyctes_emarginatus,1
3,AF,Houthulst,Forest,1,Lithobius_microps,3
3,AF,Houthulst,Forest,1,Geophilus_alpinus,1
3,AF,Houthulst,Forest,1,Geophilus_electricus,1
2,G,Vlaardingen,Food_forest,2,Lithobius_microps,1
2,AT,Malden,Food_forest,2,Lithobius_forficatus,1
2,AT,Malden,Food_forest,2,Lithobius_microps,2
2,G,Vlaardingen,Food_forest,1,Lithobius_forficatus,1
2,AF,Houthulst,Forest,2,Lithobius_microps,4
2,P,Sint-Truiden,Food_forest,1,Lithobius_forficatus,1
1,AX,Vaassen,Food_forest,1,Lithobius_microps,2
2,AE,Houthulst,Grassland,2,Lithobius_forficatus,1
1,AK,Rijswijk,Forest,1,Lithobius_microps,1
1,AF,Houthulst,Forest,1,Lithobius_calcaratus,1
1,AF,Houthulst,Forest,1,Lithobius_microps,4
1,AT,Malden,Food_forest,1,Lithobius_microps,4
1,W,Swalmen,Forest,2,Lithobius_microps,5
2,S,Sint-Truiden,Arable_field,1,Lithobius_microps,1
1,Z,Nevele,Food_forest,1,Lithobius_microps,5
2,Q,Sint-Truiden,Forest,1,Lithobius_crassipes,3
1,E,Vlaardingen,Forest,1,Lithobius_microps,1
1,V,Amsterdam,Forest,1,Lithobius_microps,2
1,J,Boelenslaan,Food_forest,2,Lithobius_microps,3
1,AD,Houthulst,Food_forest,1,Lithobius_microps,1
4,AK,Rijswijk,Forest,1,Lithobius_microps,1
4,E,Vlaardingen,Forest,2,Lithobius_macilentus,1
4,AQ,Etten-Leur,Forest,2,Lithobius_microps,1
4,S,Sint-Truiden,Arable_field,2,Lithobius_forficatus,2
4,S,Sint-Truiden,Arable_field,2,Lamyctes_emarginatus,12
4,Q,Sint-Truiden,Forest,1,Geophilus_truncorum,2
4,C,Haarzuilens,Forest,2,Lithobius_forficatus,1
4,AJ,Rijswijk,Arable_field,1,Lithobius_forficatus,2
4,P,Sint-Truiden,Food_forest,2,Lithobius_microps,1
4,AU,Malden,Forest,1,Lithobius_microps,1
4,AU,Malden,Forest,1,Geophilus_truncorum,1
4,Y,Swalmen,Food_forest,2,Schendyla_nemorensis,1
4,AN,Oostwaard,Food_forest,2,Lithobius_forficatus,3
3,AU,Malden,Forest,2,Lithobius_microps,7
3,AT,Malden,Food_forest,1,Lithobius_microps,2
3,AS,Malden,Grassland,2,Lithobius_forficatus,1
3,AS,Malden,Grassland,2,Lithobius_microps,2
3,AS,Malden,Grassland,2,Lamyctes_emarginatus,2
3,AT,Malden,Food_forest,2,Lithobius_forficatus,1
3,AT,Malden,Food_forest,2,Lithobius_microps,3
3,C,Haarzuilens,Forest,1,Lithobius_microps,2
3,AV,Malden,Arable_field,2,Lamyctes_emarginatus,6
3,AS,Malden,Grassland,1,Lamyctes_emarginatus,2
3,S,Sint-Truiden,Arable_field,2,Lamyctes_emarginatus,1
3,Y,Swalmen,Food_forest,2,Lithobius_microps,1
3,B,Haarzuilens,Grassland,2,Lithobius_forficatus,1
3,B,Haarzuilens,Grassland,2,Lamyctes_emarginatus,3
3,S,Sint-Truiden,Arable_field,1,Lamyctes_emarginatus,1
3,W,Swalmen,Forest,1,Geophilus_truncorum,1
3,AK,Rijswijk,Forest,1,Lithobius_forficatus,1
3,S,Sint-Truiden,Arable_field,2,Lithobius_microps,3
3,Z,Nevele,Food_forest,1,Lithobius_forficatus,1
3,Z,Nevele,Food_forest,1,Lithobius_microps,3
3,AN,Oostwaard,Food_forest,2,Lithobius_microps,2
3,AF,Houthulst,Forest,2,Lithobius_microps,4
3,AK,Rijswijk,Forest,2,Lithobius_microps,1
3,AU,Malden,Forest,1,Lithobius_microps,3
3,R,Sint-Truiden,Grassland,2,Lithobius_microps,1
3,R,Sint-Truiden,Grassland,2,Lithobius_muticus,1
3,I,Boelenslaan,Grassland,2,Lithobius_microps,1
3,AO,Etten-Leur,Food_forest,1,Lithobius_microps,1
3,AP,Etten-Leur,Grassland,1,Lithobius_forficatus,1
3,P,Sint-Truiden,Food_forest,2,Lithobius_microps,2
3,AX,Vaassen,Food_forest,2,Lithobius_microps,4
3,AO,Etten-Leur,Food_forest,2,Lithobius_microps,1
3,AW,Vaassen,Forest,2,Lithobius_forficatus,1
3,AX,Vaassen,Food_forest,2,Lithobius_microps,1
3,AH,Rijswijk,Grassland,2,Lamyctes_emarginatus,2
3,AH,Rijswijk,Grassland,1,Lamyctes_emarginatus,2
3,AQ,Etten-Leur,Forest,1,Lithobius_microps,1
3,AM,Oostwaard,Forest,1,Lithobius_microps,1
4,AG,Houthulst,Arable_field,1,Lamyctes_emarginatus,2
4,AA,Nevele,Arable_field,1,Lamyctes_emarginatus,1
4,AF,Houthulst,Forest,1,Schendyla_nemorensis,1
4,AF,Houthulst,Forest,1,Geophilus_electricus,1
4,AD,Houthulst,Food_forest,2,Lithobius_forficatus,1
4,Z,Nevele,Food_forest,2,Lithobius_microps,2
4,AK,Rijswijk,Forest,2,Lithobius_microps,1
4,AG,Houthulst,Arable_field,2,Lamyctes_emarginatus,3
4,Z,Nevele,Food_forest,1,Geophilus_flavus,1
2,AF,Houthulst,Forest,1,Lithobius_microps,10
1,AO,Etten-Leur,Food_forest,1,Schendyla_nemorensis,1
1,AO,Etten-Leur,Food_forest,1,Lithobius_microps,3
3,AQ,Etten-Leur,Forest,2,Lithobius_microps,3
3,S,Sint-Truiden,Arable_field,1,Lithobius_microps,14
1,AF,Houthulst,Forest,2,Lithobius_calcaratus,2
1,AF,Houthulst,Forest,2,Geophilus_electricus,1
1,AF,Houthulst,Forest,2,Lithobius_microps,1
1,AQ,Etten-Leur,Forest,2,Lithobius_microps,3
1,J,Boelenslaan,Food_forest,1,Lithobius_microps,3
3,Z,Nevele,Food_forest,2,Lithobius_microps,2
1,H,Boelenslaan,Food_forest,2,Lithobius_microps,4
4,AV,Malden,Arable_field,2,Lamyctes_emarginatus,1
2,P,Sint-Truiden,Food_forest,1,Lithobius_microps,1
2,AU,Malden,Forest,1,Lithobius_microps,1
2,AT,Malden,Food_forest,1,Lithobius_microps,2
2,AD,Houthulst,Food_forest,1,Lithobius_microps,1
2,H,Boelenslaan,Food_forest,2,Lithobius_microps,1
3,AX,Vaassen,Food_forest,2,Lithobius_microps,1
