code,site,location,landuse,soiltexture,bulkdensity,pH_KCl,C_total,N_total,NH4,NO3,P_total,P_Olsen,P_Ox,K,Mg,Ca,Na,Al,Fe
VB001,A,Haarzuilens,Food_forest,clay,0.74,6.0,10.965,0.73,11.019,34.603,1325,54.5,583.5,234.5,660.7,10678,34.8,<bg,<bg
VB002,A,Haarzuilens,Food_forest,clay,0.84,4.7,6.75,0.49,10.227,29.153,1030,40.5,364.1,242.0,569.5,7059,29.9,<bg,<bg
VB003,A,Haarzuilens,Food_forest,clay,0.75,6.0,7.86,0.551,10.999,34.145,1265,55.7,518.3,235.3,581.0,8462,40.9,<bg,<bg
VB004,A,Haarzuilens,Food_forest,clay,0.70,5.7,7.232,0.511,8.792,20.949,1267,47.6,412.0,244.4,635.6,7524,39.4,<bg,<bg
VB005,A,Haarzuilens,Food_forest,clay,0.79,5.3,7.124,0.523,8.143,20.776,1215,43.5,413.3,293.8,608.9,7291,37.1,<bg,<bg
VB006,A,Haarzuilens,Food_forest,clay,0.78,4.0,7.063,0.521,18.437,17.581,970,32.5,375.7,189.1,554.7,5506,34.2,<bg,6.7
VB007,B,Haarzuilens,Grassland,clay,0.85,6.5,5.038,0.392,10.332,28.711,1402,106.3,572.1,1322.7,567.6,4588,31.8,<bg,<bg
VB008,B,Haarzuilens,Grassland,clay,1.04,6.2,4.269,0.338,11.527,36.287,1243,91.8,505.8,1246.6,593.6,4235,41.5,<bg,<bg
VB009,B,Haarzuilens,Grassland,clay,0.85,5.5,4.154,0.322,11.900,18.174,1213,82.8,500.3,1494.3,563.4,2345,42.6,<bg,<bg
VB010,B,Haarzuilens,Grassland,clay,0.87,5.8,4.304,0.341,13.039,29.815,1190,58.5,482.5,1335.9,632.8,3439,48.7,<bg,<bg
VB011,B,Haarzuilens,Grassland,clay,0.84,6.2,4.873,0.375,10.034,15.398,1412,100.1,626.2,1472.6,568.8,3981,43.2,<bg,<bg
VB012,B,Haarzuilens,Grassland,clay,0.88,5.3,4.713,0.392,17.987,30.411,1428,72.7,598.6,1586.7,646.5,3024,45.4,<bg,<bg
VB013,C,Haarzuilens,Forest,clay,0.92,6.4,4.209,0.338,5.860,9.018,1145,43.1,468.4,250.4,710.9,6303,24.7,<bg,<bg
VB014,C,Haarzuilens,Forest,clay,1.12,5.9,3.501,0.301,7.257,12.404,1119,43.8,424.8,341.6,741.9,5873,36.4,<bg,<bg
VB015,C,Haarzuilens,Forest,clay,1.09,5.8,4.309,0.391,12.707,30.579,1265,63.6,618.0,351.0,764.7,5903,27.9,<bg,<bg
VB016,C,Haarzuilens,Forest,clay,0.99,4.7,4.551,0.358,9.350,11.836,1137,30.7,420.0,200.3,623.8,5974,31.1,<bg,<bg
VB017,C,Haarzuilens,Forest,clay,0.92,5.6,5.014,0.399,7.439,16.662,1408,50.1,492.4,293.4,766.1,6341,29.6,<bg,<bg
VB018,C,Haarzuilens,Forest,clay,1.02,6.5,6.588,0.431,5.900,8.775,891,38.0,403.7,225.2,684.9,9009,27.4,<bg,<bg
VB019,D,Haarzuilens,Arable_field,clay,0.87,5.7,5.804,0.534,9.671,41.485,1258,51.9,460.6,232.0,771.6,8563,99.3,<bg,<bg
