code,site,location,landuse,species,abundance,biomass
VB001,A,Haarzuilens,Food_forest,broken,6,0.2
VB001,A,Haarzuilens,Food_forest,head,1,NA
VB001,A,Haarzuilens,Food_forest,Lumbricus_castaneus,1,0.11
VB001,A,Haarzuilens,Food_forest,Aporrectodea_caliginosa,1,0.53
VB001,A,Haarzuilens,Food_forest,Aporrectodea_rosea,1,0.11
VB001,A,Haarzuilens,Food_forest,juvenile_pigment,30,2.71
VB001,A,Haarzuilens,Food_forest,juvenile_nopigment,32,3.42
VB003,A,Haarzuilens,Food_forest,Aporrectodea_caliginosa,13,5.12
VB003,A,Haarzuilens,Food_forest,Aporrectodea_rosea,2,0.4
VB003,A,Haarzuilens,Food_forest,broken,6,0.4
VB003,A,Haarzuilens,Food_forest,head,1,NA
VB003,A,Haarzuilens,Food_forest,juvenile_pigment,11,1.04
VB003,A,Haarzuilens,Food_forest,juvenile_nopigment,28,2.4
VB003,A,Haarzuilens,Food_forest,Lumbricus_castaneus,2,0.2
VB003,A,Haarzuilens,Food_forest,Allolobophora_chlorotica,3,0.51
VB005,A,Haarzuilens,Food_forest,Eiseniella_tetraedra,1,0.04
VB005,A,Haarzuilens,Food_forest,Aporrectodea_cupulifera,1,0.07
VB005,A,Haarzuilens,Food_forest,Aporrectodea_caliginosa,5,1.46
VB005,A,Haarzuilens,Food_forest,juvenile_pigment,1,0.03
VB005,A,Haarzuilens,Food_forest,Aporrectodea_rosea,3,0.46
VB005,A,Haarzuilens,Food_forest,juvenile_nopigment,17,0.83
VB005,A,Haarzuilens,Food_forest,broken,2,0.03
VB007,B,Haarzuilens,Grassland,Lumbricus_terrestris,4,12.79
VB007,B,Haarzuilens,Grassland,Aporrectodea_caliginosa,29,13.56
VB007,B,Haarzuilens,Grassland,Aporrectodea_rosea,1,0.15
VB007,B,Haarzuilens,Grassland,Allolobophora_chlorotica,5,1.08
VB007,B,Haarzuilens,Grassland,juvenile_pigment,17,6.31
VB007,B,Haarzuilens,Grassland,juvenile_nopigment,20,2.23
VB007,B,Haarzuilens,Grassland,broken,6,0.9
VB009,B,Haarzuilens,Grassland,broken,14,1.59
VB009,B,Haarzuilens,Grassland,Lumbricus_terrestris,1,2.44
VB009,B,Haarzuilens,Grassland,juvenile_nopigment,9,1.08
VB009,B,Haarzuilens,Grassland,juvenile_pigment,17,3.61
VB009,B,Haarzuilens,Grassland,Aporrectodea_caliginosa,16,6.21
VB011,B,Haarzuilens,Grassland,Lumbricus_terrestris,3,7.33
VB011,B,Haarzuilens,Grassland,Allolobophora_chlorotica,4,0.6
VB011,B,Haarzuilens,Grassland,Aporrectodea_caliginosa,8,3.13
