session,site,location,landuse,trap,species,abundance,Sex,Stage
4,C,Haarzuilens,Forest,1,RILAENA_TRIANGULARIS,2,,JUV
4,C,Haarzuilens,Forest,1,NEMASTOMA_DENTIGERUM,1,M,AD
4,C,Haarzuilens,Forest,1,OLIGOLOPHUS_TRIDENS,6,F,AD
4,F,Vlaardingen,Grassland,1,RILAENA_TRIANGULARIS,2,,JUV
4,F,Vlaardingen,Grassland,1,OLIGOLOPHUS_TRIDENS,1,F,AD
4,AO,Etten-Leur,Food_forest,2,LEIOBUNUM_SPEC.,1,,JUV
4,AO,Etten-Leur,Food_forest,1,LEIOBUNUM_SPEC.,2,,JUV
4,AQ,Etten-Leur,Forest,1,PAROLIGOLOPHUS_AGRESTIS,1,F,AD
4,E,Vlaardingen,Forest,1,NEMASTOMA_DENTIGERUM,1,M,AD
4,E,Vlaardingen,Forest,1,NEMASTOMA_DENTIGERUM,1,F,AD
4,E,Vlaardingen,Forest,1,OLIGOLOPHUS_TRIDENS,5,F,AD
4,G,Vlaardingen,Food_forest,2,OLIGOLOPHUS_TRIDENS,1,F,AD
4,G,Vlaardingen,Food_forest,2,RILAENA_TRIANGULARIS,1,,JUV
4,AH,Rijswijk,Grassland,1,OLIGOLOPHUS_TRIDENS,2,F,AD
4,AL,Oostwaard,Grassland,2,OLIGOLOPHUS_TRIDENS,1,F,AD
4,Q,Sint-Truiden,Forest,2,NEMASTOMA_BIMACULATUM,1,F,AD
4,C,Haarzuilens,Forest,2,RILAENA_TRIANGULARIS,1,,JUV
4,C,Haarzuilens,Forest,2,OLIGOLOPHUS_TRIDENS,1,M,AD
4,C,Haarzuilens,Forest,2,OLIGOLOPHUS_TRIDENS,20,F,AD
4,AJ,Rijswijk,Arable_field,1,RILAENA_TRIANGULARIS,1,,JUV
4,P,Sint-Truiden,Food_forest,2,OLIGOLOPHUS_TRIDENS,2,F,AD
4,AX,Vaassen,Food_forest,2,OLIGOLOPHUS_TRIDENS,1,F,AD
4,AN,Oostwaard,Food_forest,1,OLIGOLOPHUS_TRIDENS,5,M,AD
4,AN,Oostwaard,Food_forest,1,OLIGOLOPHUS_TRIDENS,18,F,AD
4,AZ,Vaassen,Arable_field,2,PHALANGIUM_OPILIO,1,M,AD
4,Q,Sint-Truiden,Forest,2,PARANEMASTOMA_QUADRIPUNCTATUM,2,F,AD
4,Q,Sint-Truiden,Forest,2,ANELASMOCEPHALUS_CAMBRIDGEI,1,M,AD
4,AW,Vaassen,Forest,1,LOPHOPILIO_PALPINALIS,1,F,AD
4,AU,Malden,Forest,1,NEMASTOMA_BIMACULATUM,2,M,AD
4,AU,Malden,Forest,1,NEMASTOMA_BIMACULATUM,1,F,AD
4,AU,Malden,Forest,1,NEMASTOMA_LUGUBRE,1,M,AD
4,AT,Malden,Food_forest,2,NEMASTOMA_BIMACULATUM,2,F,AD
4,AT,Malden,Food_forest,2,PHALANGIIDAE_SPEC.,1,,JUV
4,AN,Oostwaard,Food_forest,2,OLIGOLOPHUS_TRIDENS,1,M,AD
3,AT,Malden,Food_forest,2,OLIGOLOPHUS_TRIDENS,1,F,AD
3,Q,Sint-Truiden,Forest,1,PARANEMASTOMA_QUADRIPUNCTATUM,1,F,AD
3,C,Haarzuilens,Forest,2,OLIGOLOPHUS_TRIDENS,1,F,AD
3,C,Haarzuilens,Forest,2,OLIGOLOPHUS_TRIDENS,2,,JUV
3,AV,Malden,Arable_field,2,PHALANGIUM_OPILIO,1,M,AD
3,AK,Rijswijk,Forest,1,NEMASTOMA_DENTIGERUM,1,M,AD
3,AK,Rijswijk,Forest,1,NEMASTOMA_DENTIGERUM,1,F,AD
3,A,Haarzuilens,Food_forest,1,OLIGOLOPHUS_TRIDENS,1,F,AD
3,A,Haarzuilens,Food_forest,1,PHALANGIIDAE_SPEC.,1,,JUV
3,A,Haarzuilens,Food_forest,2,PHALANGIIDAE_SPEC.,1,,JUV
3,J,Boelenslaan,Food_forest,2,OLIGOLOPHUS_TRIDENS,4,F,AD
3,J,Boelenslaan,Food_forest,2,OLIGOLOPHUS_TRIDENS,1,,JUV
3,AN,Oostwaard,Food_forest,1,OLIGOLOPHUS_TRIDENS,2,F,AD
3,AK,Rijswijk,Forest,2,LOPHOPILIO_PALPINALIS,2,,JUV
3,AK,Rijswijk,Forest,2,NEMASTOMA_DENTIGERUM,1,M,AD
3,AU,Malden,Forest,1,MITOSTOMA_CHRYSOMELAS,1,F,AD
3,AT,Malden,Food_forest,2,PHALANGIUM_OPILIO,1,M,AD
3,AO,Etten-Leur,Food_forest,1,PAROLIGOLOPHUS_AGRESTIS,2,,JUV
3,AO,Etten-Leur,Food_forest,1,PHALANGIIDAE_SPEC.,1,,JUV
3,P,Sint-Truiden,Food_forest,2,PHALANGIIDAE_SPEC.,1,,JUV
3,G,Vlaardingen,Food_forest,1,PARANEMASTOMA_QUADRIPUNCTATUM,1,,JUV
3,AX,Vaassen,Food_forest,2,PHALANGIIDAE_SPEC.,1,,JUV
3,I,Boelenslaan,Grassland,1,LEIOBUNUM_SPEC.,2,,JUV
3,AW,Vaassen,Forest,1,PHALANGIIDAE_SPEC.,1,,JUV
