"","i5","dna_code","m","Method","Order.q","SC","qD","qD.LCL","qD.UCL","unique_site","landuse","location","texture"
"1","i5",149,13029,"Rarefaction",0,0.994394332164932,906.501706383015,899.958071633119,913.04534113291,11,"Forest","Boelenslaan","Zand"
"2","i5",2,13029,"Rarefaction",0,0.991465155349858,1333.54766644315,1322.67018812574,1344.42514476055,25,"Food_forest","Swalmen","Zand"
"3","i5",150,13029,"Rarefaction",0,0.991314802282885,1239.79480379744,1231.7293703526,1247.86023724228,10,"Food_forest","Boelenslaan","Zand"
"4","i5",151,13029,"Rarefaction",0,0.989433471727784,1420.28738584321,1411.04206848236,1429.53270320405,25,"Food_forest","Swalmen","Zand"
"5","i5",5,13029,"Rarefaction",0,0.989396120409084,1190.40563550992,1179.17050767512,1201.64076334472,8,"Food_forest","Boelenslaan","Zand"
"6","i5",6,13029,"Rarefaction",0,0.996419054018746,881.758689683064,873.529240399388,889.988138966739,13,"Forest","Groesbeek","Leem"
"7","i5",7,13029,"Rarefaction",0,0.995062453376693,953.363625838549,944.105715404234,962.621536272864,12,"Arable_field","Groesbeek","Leem"
"8","i5",8,13029,"Rarefaction",0,0.989835629809783,1170.08879610832,1162.79410488999,1177.38348732665,22,"Forest","Amsterdam","Klei"
"9","i5",9,13029,"Rarefaction",0,0.997258755306841,639.649954805766,632.767780889672,646.53212872186,4,"Arable_field","Haarzuilens","Klei"
"10","i5",10,13029,"Rarefaction",0,0.992876274507295,1067.17299687005,1060.74354031712,1073.60245342298,23,"Forest","Swalmen","Zand"
"11","i5",11,13029,"Rarefaction",0,0.997315636145104,951.075512269445,940.510106121241,961.640918417649,7,"Food_forest","Vlaardingen","Klei"
"12","i5",12,13029,"Rarefaction",0,0.994076939372487,1039.31931648027,1031.70689910849,1046.93173385205,19,"Arable_field","Sint-Truiden","Leem"
"13","i5",13,13029,"Rarefaction",0,0.994616896329034,887.00007002534,880.808916080291,893.191223970389,3,"Forest","Haarzuilens","Klei"
"14","i5",152,13029,"Rarefaction",0,0.995780908577393,734.393805499768,727.737830099925,741.049780899611,11,"Forest","Boelenslaan","Zand"
"15","i5",15,13029,"Rarefaction",0,0.994351158471802,961.686275758138,952.893217943103,970.479333573174,5,"Forest","Vlaardingen","Klei"
"16","i5",16,13029,"Rarefaction",0,0.98793670247835,1430.62121574687,1420.61104239554,1440.6313890982,20,"Grassland","Amsterdam","Klei"
"17","i5",17,13029,"Rarefaction",0,0.99021793994758,1360.2594789838,1350.81221459809,1369.70674336951,22,"Forest","Amsterdam","Klei"
"18","i5",19,13029,"Rarefaction",0,0.990702557586322,1122.9607471053,1114.78443031599,1131.13706389461,14,"Grassland","Groesbeek","Leem"
"19","i5",235,13029,"Rarefaction",0,0.992712286744636,1129.09272765232,1121.87665814887,1136.30879715576,35,"Food_forest","Rijswijk","Klei"
"20","i5",236,13029,"Rarefaction",0,0.987314967087187,1346.61145578312,1338.12638556506,1355.09652600117,29,"Grassland","Nevele","Zand"
"21","i5",237,13029,"Rarefaction",0,0.990156232827802,1301.89350412697,1293.77146799073,1310.01554026321,52,"Arable_field","Vaassen","Zand"
"22","i5",238,13029,"Rarefaction",0,0.994471138457919,811.391586099023,804.126110570084,818.657061627962,45,"Grassland","Malden","Leem"
"23","i5",239,13029,"Rarefaction",0,0.990956863287441,1113.98214055919,1104.01562698017,1123.94865413821,44,"Arable_field","Etten-Leur","Zand"
"24","i5",240,13029,"Rarefaction",0,0.993582062040958,874.433548380232,866.36610495165,882.500991808815,45,"Grassland","Malden","Leem"
"25","i5",241,13029,"Rarefaction",0,0.992533445429796,1073.10214785049,1065.52402509105,1080.68027060994,38,"Grassland","Oostwaard","Klei"
"26","i5",153,13029,"Rarefaction",0,0.99306838218707,816.215648422842,809.673001111426,822.758295734258,13,"Forest","Groesbeek","Leem"
"27","i5",242,13029,"Rarefaction",0,0.99386471984446,897.887757355251,892.169928354753,903.605586355749,47,"Forest","Malden","Leem"
"28","i5",243,13029,"Rarefaction",0,0.989735251554713,1363.20205434604,1354.67772909346,1371.72637959863,48,"Arable_field","Malden","Leem"
"29","i5",244,13029,"Rarefaction",0,0.987195074222284,1468.53346533869,1458.42187651181,1478.64505416557,48,"Arable_field","Malden","Leem"
"30","i5",245,13029,"Rarefaction",0,0.991874871777054,1145.13972914493,1135.71326434178,1154.56619394809,31,"Grassland","Houthulst","Leem"
"31","i5",374,13029,"Rarefaction",0,0.989945349793895,1253.50279163142,1244.71182933995,1262.2937539229,39,"Forest","Oostwaard","Klei"
"32","i5",247,13029,"Rarefaction",0,0.992541897612012,937.581033656988,929.476961127216,945.685106186761,45,"Grassland","Malden","Leem"
"33","i5",248,13029,"Rarefaction",0,0.991771058387513,1107.50738021135,1099.99354323364,1115.02121718906,38,"Grassland","Oostwaard","Klei"
"34","i5",249,13029,"Rarefaction",0,0.993372455799627,1112.08644328263,1104.64740775647,1119.5254788088,43,"Forest","Etten-Leur","Zand"
"35","i5",250,13029,"Rarefaction",0,0.99152325586018,1309.4301148342,1300.33172387744,1318.52850579097,26,"Food_forest","Nevele","Zand"
"36","i5",251,13029,"Rarefaction",0,0.987859164878162,1382.77909024793,1372.69355668697,1392.86462380889,43,"Forest","Etten-Leur","Zand"
"37","i5",154,13029,"Rarefaction",0,0.991224178120076,1284.20535755149,1275.47912326278,1292.9315918402,25,"Food_forest","Swalmen","Zand"
"38","i5",253,13029,"Rarefaction",0,0.990154604234348,1219.73807380759,1210.9620368226,1228.51411079257,30,"Food_forest","Houthulst","Leem"
"39","i5",254,13029,"Rarefaction",0,0.989798714418645,1235.07058621781,1225.15455045496,1244.98662198065,37,"Forest","Rijswijk","Klei"
"40","i5",255,13029,"Rarefaction",0,0.994900554266662,765.898117021443,758.042775244147,773.753458798739,45,"Grassland","Malden","Leem"
"41","i5",256,13029,"Rarefaction",0,0.994652769236364,778.026253944225,771.276869176954,784.775638711496,32,"Forest","Houthulst","Leem"
"42","i5",257,13029,"Rarefaction",0,0.99516465461591,930.167650975593,920.94948320178,939.385818749406,38,"Grassland","Oostwaard","Klei"
"43","i5",258,13029,"Rarefaction",0,0.993168855765974,1113.16144195878,1104.98292047356,1121.339963444,28,"Forest","Nevele","Zand"
"44","i5",259,13029,"Rarefaction",0,0.988529302723129,1327.76036159696,1318.16714816132,1337.3535750326,27,"Arable_field","Nevele","Zand"
"45","i5",260,13029,"Rarefaction",0,0.992494451162875,1111.84337685701,1104.64087658987,1119.04587712415,35,"Food_forest","Rijswijk","Klei"
"46","i5",261,13029,"Rarefaction",0,0.986295062829703,1511.60452805104,1501.81095041178,1521.39810569029,48,"Arable_field","Malden","Leem"
"47","i5",155,13029,"Rarefaction",0,0.996546273686017,622.880878210696,616.581270982016,629.180485439376,17,"Forest","Sint-Truiden","Leem"
"48","i5",262,13029,"Rarefaction",0,0.989620765169851,1263.38902890638,1255.65190282295,1271.12615498982,39,"Forest","Oostwaard","Klei"
"49","i5",263,13029,"Rarefaction",0,0.99310193302667,1137.11447264582,1127.27669961979,1146.95224567184,26,"Food_forest","Nevele","Zand"
"50","i5",264,13029,"Rarefaction",0,0.994192199423851,998.062449148792,989.977446017341,1006.14745228024,36,"Arable_field","Rijswijk","Klei"
"51","i5",265,13029,"Rarefaction",0,0.992298177465353,1116.84328611661,1108.6685171857,1125.01805504753,37,"Forest","Rijswijk","Klei"
"52","i5",266,13029,"Observed",0,0.998236037622085,791,782.665742549714,799.334257450286,44,"Arable_field","Etten-Leur","Zand"
"53","i5",267,13029,"Rarefaction",0,0.99026119676643,1303.78844058178,1292.73867763526,1314.83820352829,48,"Arable_field","Malden","Leem"
"54","i5",268,13029,"Rarefaction",0,0.989895422800091,1268.02218186222,1260.70154904563,1275.34281467881,39,"Forest","Oostwaard","Klei"
"55","i5",269,13029,"Rarefaction",0,0.99075096769634,1086.22963485454,1078.47144036467,1093.98782934442,41,"Food_forest","Etten-Leur","Zand"
"56","i5",270,13029,"Rarefaction",0,0.988284775876887,1410.66580495927,1403.17496868482,1418.15664123371,33,"Arable_field","Houthulst","Leem"
"57","i5",271,13029,"Rarefaction",0,0.992850980860824,1066.66929180532,1060.67063211508,1072.66795149556,29,"Grassland","Nevele","Zand"
"58","i5",156,13029,"Rarefaction",0,0.992832932987841,1074.05777325271,1066.35437010632,1081.7611763991,23,"Forest","Swalmen","Zand"
"59","i5",272,13029,"Rarefaction",0,0.992174939287338,1003.45895671851,994.637126731954,1012.28078670507,42,"Grassland","Etten-Leur","Zand"
"60","i5",273,13029,"Rarefaction",0,0.990805912016989,987.178559435288,977.653252907176,996.7038659634,46,"Food_forest","Malden","Leem"
"61","i5",274,13029,"Rarefaction",0,0.99455709433107,924.166854647473,917.501312655826,930.83239663912,44,"Arable_field","Etten-Leur","Zand"
"62","i5",275,13029,"Rarefaction",0,0.988296194689459,1277.7350305818,1267.62528012467,1287.84478103894,50,"Food_forest","Vaassen","Zand"
"63","i5",276,13029,"Rarefaction",0,0.991649070430602,1006.23097301481,998.106345931742,1014.35560009787,34,"Grassland","Rijswijk","Klei"
"64","i5",277,13029,"Rarefaction",0,0.989150335807871,1288.65780848548,1280.69774609327,1296.61787087769,43,"Forest","Etten-Leur","Zand"
"65","i5",278,13029,"Rarefaction",0,0.987898885164408,1343.08459101138,1333.9632054088,1352.20597661396,52,"Arable_field","Vaassen","Zand"
"66","i5",279,13029,"Rarefaction",0,0.991849647413044,1162.39934983378,1151.97750731134,1172.82119235622,37,"Forest","Rijswijk","Klei"
"67","i5",280,13029,"Rarefaction",0,0.99472117404823,957.796265307131,948.880492575203,966.712038039058,38,"Grassland","Oostwaard","Klei"
"68","i5",281,13029,"Rarefaction",0,0.992870861887767,951.488568009829,944.216622866654,958.760513153004,45,"Grassland","Malden","Leem"
"69","i5",24,13029,"Rarefaction",0,0.995148490943272,884.952092196183,876.166829161482,893.737355230884,12,"Arable_field","Groesbeek","Leem"
"70","i5",282,13029,"Rarefaction",0,0.993457163099709,1067.98684550533,1059.02304538627,1076.95064562439,41,"Food_forest","Etten-Leur","Zand"
"71","i5",283,13029,"Rarefaction",0,0.987777723465606,1409.18682870575,1399.1899886184,1419.18366879311,27,"Arable_field","Nevele","Zand"
"72","i5",284,13029,"Rarefaction",0,0.98926696369254,1161.39558350964,1151.89222436787,1170.89894265141,29,"Grassland","Nevele","Zand"
"73","i5",285,13029,"Rarefaction",0,0.989752493034284,1112.22470122646,1103.08309771436,1121.36630473856,42,"Grassland","Etten-Leur","Zand"
"74","i5",286,13029,"Rarefaction",0,0.994492655985698,915.645845237063,906.449384610932,924.842305863194,46,"Food_forest","Malden","Leem"
"75","i5",287,13029,"Rarefaction",0,0.992877270483647,1127.90598094771,1119.16271716058,1136.64924473485,30,"Food_forest","Houthulst","Leem"
"76","i5",288,13029,"Rarefaction",0,0.993679999692948,956.206204589446,949.099071455962,963.31333772293,36,"Arable_field","Rijswijk","Klei"
"77","i5",289,13029,"Rarefaction",0,0.993948719588309,952.888159338194,945.032032107371,960.744286569017,36,"Arable_field","Rijswijk","Klei"
"78","i5",290,13029,"Rarefaction",0,0.99534507447591,803.66609844129,795.250152321465,812.082044561115,42,"Grassland","Etten-Leur","Zand"
"79","i5",291,13029,"Rarefaction",0,0.993659398333212,853.36142347566,848.012285001835,858.710561949485,49,"Forest","Vaassen","Zand"
"80","i5",157,13029,"Rarefaction",0,0.991188733524446,1105.69293173492,1096.74896504918,1114.63689842066,8,"Food_forest","Boelenslaan","Zand"
"81","i5",292,13029,"Rarefaction",0,0.986788531781046,1266.7133595848,1258.27095457587,1275.15576459373,40,"Food_forest","Oostwaard","Klei"
"82","i5",293,13029,"Rarefaction",0,0.991797439701363,1133.09959634481,1124.68478653469,1141.51440615494,36,"Arable_field","Rijswijk","Klei"
"83","i5",294,13029,"Rarefaction",0,0.992224717645226,994.887574286782,987.374319487332,1002.40082908623,34,"Grassland","Rijswijk","Klei"
"84","i5",376,13029,"Rarefaction",0,0.993656724145575,859.452024122226,854.943817002101,863.96023124235,47,"Forest","Malden","Leem"
"85","i5",296,13029,"Rarefaction",0,0.992499179691273,947.273517778634,938.719185796504,955.827849760764,46,"Food_forest","Malden","Leem"
"86","i5",297,13029,"Rarefaction",0,0.993458965416898,965.175386164937,958.483835749097,971.866936580777,42,"Grassland","Etten-Leur","Zand"
"87","i5",298,13029,"Rarefaction",0,0.995411523642478,956.95274231561,946.423943314714,967.481541316506,31,"Grassland","Houthulst","Leem"
"88","i5",299,13029,"Rarefaction",0,0.99163100501395,1181.71336947446,1173.24477521189,1190.18196373704,35,"Food_forest","Rijswijk","Klei"
"89","i5",300,13029,"Rarefaction",0,0.98960111843489,1353.50616100439,1345.00853925362,1362.00378275515,27,"Arable_field","Nevele","Zand"
"90","i5",301,13029,"Rarefaction",0,0.989401678513899,1166.00968819443,1157.7223694108,1174.29700697807,30,"Food_forest","Houthulst","Leem"
"91","i5",26,13029,"Rarefaction",0,0.988674691188093,1227.30778188785,1219.48756010013,1235.12800367558,14,"Grassland","Groesbeek","Leem"
"92","i5",302,13029,"Rarefaction",0,0.992604782148993,1015.61509958491,1008.08306499413,1023.1471341757,45,"Grassland","Malden","Leem"
"93","i5",303,13029,"Rarefaction",0,0.994835197901848,1103.85301895945,1095.25249164109,1112.45354627782,51,"Grassland","Vaassen","Zand"
"94","i5",304,13029,"Rarefaction",0,0.993250673454021,1055.78465153664,1047.67838515232,1063.89091792096,50,"Food_forest","Vaassen","Zand"
"95","i5",305,13029,"Rarefaction",0,0.991455162294001,1192.26302451097,1182.46410409034,1202.06194493161,27,"Arable_field","Nevele","Zand"
"96","i5",306,13029,"Rarefaction",0,0.996570477958359,601.13988995623,595.772887306448,606.506892606012,47,"Forest","Malden","Leem"
"97","i5",307,13029,"Rarefaction",0,0.995474537784081,729.79901622616,725.335464652477,734.262567799843,47,"Forest","Malden","Leem"
"98","i5",308,13029,"Rarefaction",0,0.989586179429268,1352.1542078326,1343.73900892683,1360.56940673838,27,"Arable_field","Nevele","Zand"
"99","i5",309,13029,"Rarefaction",0,0.993708140993863,1016.72657218906,1008.13395434925,1025.31919002887,37,"Forest","Rijswijk","Klei"
