X,Assemblage,m,Method,Order.q,SC,qD,qD.LCL,qD.UCL,dna_code,unique_site,landuse,location,texture
1,i5.N1,10037,Rarefaction,0,0.998991941,84.92250218,83.2096984,86.63530597,i5.N1,2,Grassland,Haarzuilens,Klei
2,i5.N2,10037,Rarefaction,0,0.999004425,102.6849963,101.2141879,104.1558046,i5.N2,17,Forest,Sint-Truiden,Leem
3,i5.N3,10037,Rarefaction,0,0.99896409,89.56548023,88.22390479,90.90705568,i5.N3,8,Food_forest,Boelenslaan,Zand
4,i5.N4,10037,Rarefaction,0,0.998626556,119.327775,117.9325607,120.7229893,i5.N4,2,Grassland,Haarzuilens,Klei
5,i5.N5,10037,Rarefaction,0,0.999778423,116.2699169,115.4013095,117.1385243,i5.N5,21,Food_forest,Amsterdam,Klei
6,i5.N6,10037,Rarefaction,0,0.999126524,122.1939992,120.8722081,123.5157903,i5.N6,16,Food_forest,Sint-Truiden,Leem
7,i5.N7,10037,Rarefaction,0,0.999987625,68.9967635,67.95895362,70.03457338,i5.N7,4,Arable_field,Haarzuilens,Klei
8,i5.N8,10037,Rarefaction,0,0.999283681,100.2273561,98.94547315,101.5092391,i5.N8,24,Grassland,Swalmen,Zand
9,i5.N9,10037,Rarefaction,0,0.999374972,103.1400796,101.9708296,104.3093296,i5.N9,6,Grassland,Vlaardingen,Klei
10,i5.N10,10037,Rarefaction,0,0.999511208,63.86643166,62.85047033,64.88239299,i5.N10,23,Forest,Swalmen,Zand
11,i5.N11,10037,Rarefaction,0,0.999820867,84.36165952,83.84565783,84.8776612,i5.N11,13,Forest,Groesbeek,Leem
12,i5.N12,10037,Rarefaction,0,0.99914471,117.0222707,115.7119821,118.3325593,i5.N12,20,Grassland,Amsterdam,Klei
13,i5.N13,10037,Rarefaction,0,0.999883579,71.88000736,70.45312131,73.3068934,i5.N13,4,Arable_field,Haarzuilens,Klei
14,i5.N14,10037,Rarefaction,0,0.999364996,79.94419739,78.75270579,81.135689,i5.N14,23,Forest,Swalmen,Zand
15,i5.N15,10037,Rarefaction,0,0.999465378,96.93332487,95.5534782,98.31317155,i5.N15,20,Grassland,Amsterdam,Klei
16,i5.N16,10037,Rarefaction,0,0.999376851,114.0343699,112.7277863,115.3409534,i5.N16,22,Forest,Amsterdam,Klei
17,i5.N17,10037,Rarefaction,0,0.999038464,119.1648506,117.8463993,120.483302,i5.N17,21,Food_forest,Amsterdam,Klei
18,i5.N18,10037,Rarefaction,0,0.999151928,97.00009025,95.60593395,98.39424654,i5.N18,25,Food_forest,Swalmen,Zand
19,i5.N19,10037,Observed,0,1,46,44.87373832,47.12626168,i5.N19,23,Forest,Swalmen,Zand
20,i5.N20,10037,Rarefaction,0,0.99867908,84.03149469,82.5440004,85.51898899,i5.N20,2,Grassland,Haarzuilens,Klei
21,i5.N21,10037,Rarefaction,0,0.999151114,121.904683,120.3975805,123.4117856,i5.N21,17,Forest,Sint-Truiden,Leem
22,i5.N22,10037,Rarefaction,0,0.999178522,87.07825095,85.32833676,88.82816514,i5.N22,15,Food_forest,Groesbeek,Leem
23,i5.N23,10037,Rarefaction,0,0.999466273,95.01718341,93.8857237,96.14864313,i5.N23,9,Grassland,Boelenslaan,Zand
24,i5.N24,10037,Rarefaction,0,0.998731831,58.2450648,57.04515951,59.4449701,i5.N24,23,Forest,Swalmen,Zand
25,i5.N25,10037,Rarefaction,0,0.99892028,91.26709312,89.91179697,92.62238927,i5.N25,12,Arable_field,Groesbeek,Leem
26,i5.N26,10037,Rarefaction,0,0.999329967,91.55292598,90.08791812,93.01793384,i5.N26,8,Food_forest,Boelenslaan,Zand
27,i5.N27,10037,Rarefaction,0,0.999698695,74.465899,72.49193585,76.43986215,i5.N27,4,Arable_field,Haarzuilens,Klei
28,i5.N28,10037,Rarefaction,0,0.999307366,93.99612882,92.96560739,95.02665025,i5.N28,18,Grassland,Sint-Truiden,Leem
29,i5.N29,10037,Rarefaction,0,0.998660626,104.5780038,102.5464508,106.6095568,i5.N29,19,Arable_field,Sint-Truiden,Leem
30,i5.N30,10037,Rarefaction,0,0.999307804,93.25696826,91.27511873,95.2388178,i5.N30,20,Grassland,Amsterdam,Klei
31,i5.N31,10037,Rarefaction,0,0.999337632,91.65772679,90.32559017,92.9898634,i5.N31,11,Forest,Boelenslaan,Zand
32,i5.N32,10037,Rarefaction,0,0.999174888,84.45719004,83.05475998,85.85962011,i5.N32,1,Food_forest,Haarzuilens,Klei
33,i5.N33,10037,Rarefaction,0,0.999123439,104.226299,102.2951099,106.1574882,i5.N33,5,Forest,Vlaardingen,Klei
34,i5.N34,10037,Rarefaction,0,0.998858645,92.19634211,90.59702906,93.79565517,i5.N34,19,Arable_field,Sint-Truiden,Leem
35,i5.N35,10037,Rarefaction,0,0.998406079,159.3794177,156.7126619,162.0461734,i5.N35,7,Food_forest,Vlaardingen,Klei
36,i5.N36,10037,Rarefaction,0,0.999299544,91.41555862,89.95750488,92.87361236,i5.N36,10,Food_forest,Boelenslaan,Zand
37,i5.N37,10037,Rarefaction,0,0.999784353,67.08848118,66.1691067,68.00785566,i5.N37,15,Food_forest,Groesbeek,Leem
38,i5.N38,10037,Rarefaction,0,0.998971432,97.84281912,96.13177802,99.55386023,i5.N38,17,Forest,Sint-Truiden,Leem
39,i5.N39,10037,Rarefaction,0,0.999734695,74.39519484,72.87394726,75.91644242,i5.N39,4,Arable_field,Haarzuilens,Klei
40,i5.N40,10037,Rarefaction,0,0.999115192,112.8940278,111.2956813,114.4923743,i5.N40,22,Forest,Amsterdam,Klei
41,i5.N41,10037,Rarefaction,0,0.999751157,84.33812414,83.3486556,85.32759269,i5.N41,9,Grassland,Boelenslaan,Zand
42,i5.N42,10037,Rarefaction,0,0.999529301,79.48366733,78.30073275,80.6666019,i5.N42,8,Food_forest,Boelenslaan,Zand
43,i5.N43,10037,Rarefaction,0,0.999384192,85.36043367,84.04236597,86.67850137,i5.N43,6,Grassland,Vlaardingen,Klei
44,i5.N44,10037,Rarefaction,0,0.999579911,96.74552618,95.30247702,98.18857534,i5.N44,4,Arable_field,Haarzuilens,Klei
45,i5.N45,10037,Rarefaction,0,0.999226691,125.5558059,123.8969039,127.2147079,i5.N45,7,Food_forest,Vlaardingen,Klei
46,i5.N46,10037,Rarefaction,0,0.999174814,86.12635076,84.23238101,88.02032052,i5.N46,9,Grassland,Boelenslaan,Zand
47,i5.N47,10037,Rarefaction,0,0.998767599,84.53602545,82.68113078,86.39092012,i5.N47,8,Food_forest,Boelenslaan,Zand
48,i5.N48,10037,Rarefaction,0,0.999036641,92.38940414,90.78156,93.99724828,i5.N48,15,Food_forest,Groesbeek,Leem
49,i5.N49,10037,Rarefaction,0,0.999057665,121.7111875,120.1873262,123.2350489,i5.N49,17,Forest,Sint-Truiden,Leem
