X,i5,dna_code,m,Method,Order.q,SC,qD,qD.LCL,qD.UCL,code,unique_site,landuse,location,texture
1,i5,149,870,Rarefaction,1,0.977623233,86.99087464,82.00413004,91.97761924,VB063,11,Forest,Boelenslaan,Zand
2,i5,2,870,Rarefaction,1,0.910069032,175.1710465,170.3503654,179.9917275,VB150,25,Food_forest,Swalmen,Zand
3,i5,150,870,Rarefaction,1,0.917948392,136.9108033,132.5200548,141.3015518,VB060,10,Food_forest,Boelenslaan,Zand
4,i5,151,870,Rarefaction,1,0.913281121,156.4017953,151.9635708,160.8400199,VB149,25,Food_forest,Swalmen,Zand
5,i5,5,870,Rarefaction,1,0.886905121,62.16244107,59.87031317,64.45456897,VB044,8,Food_forest,Boelenslaan,Zand
6,i5,6,870,Rarefaction,1,0.975838348,68.14563081,65.00910253,71.28215909,VB075,13,Forest,Groesbeek,Leem
7,i5,7,870,Rarefaction,1,0.926085157,127.1189885,123.9454572,130.2925198,VB071,12,Arable_field,Groesbeek,Leem
8,i5,8,870,Rarefaction,1,0.978920416,80.80063087,77.28100612,84.32025561,VB127,22,Forest,Amsterdam,Klei
9,i5,9,870,Rarefaction,1,0.948951832,114.916652,109.7888002,120.0445038,VB024,4,Arable_field,Haarzuilens,Klei
10,i5,10,870,Rarefaction,1,0.980612252,27.93523923,25.76145019,30.10902826,VB137,23,Forest,Swalmen,Zand
11,i5,11,870,Rarefaction,1,0.908577254,84.85169624,81.36781949,88.33557299,VB041,7,Food_forest,Vlaardingen,Klei
12,i5,12,870,Rarefaction,1,0.914158754,151.771003,147.4712312,156.0707748,VB113,19,Arable_field,Sint-Truiden,Leem
13,i5,13,870,Rarefaction,1,0.908839227,142.7778798,137.8730378,147.6827218,VB013,3,Forest,Haarzuilens,Klei
14,i5,152,870,Rarefaction,1,0.977569747,26.30063728,24.06916386,28.5321107,VB064,11,Forest,Boelenslaan,Zand
15,i5,15,870,Rarefaction,1,0.926700941,88.63678452,84.43572174,92.8378473,VB028,5,Forest,Vlaardingen,Klei
16,i5,16,870,Rarefaction,1,0.931877945,6.846173854,6.576639755,7.115707954,VB117,20,Grassland,Amsterdam,Klei
17,i5,17,870,Rarefaction,1,0.910939712,118.66072,114.9498398,122.3716003,VB128,22,Forest,Amsterdam,Klei
18,i5,19,870,Rarefaction,1,0.909314538,121.999077,118.1452518,125.8529022,VB081,14,Grassland,Groesbeek,Leem
19,i5,153,870,Rarefaction,1,0.99416819,81.16006637,76.70277161,85.61736113,VB077,13,Forest,Groesbeek,Leem
20,i5,154,870,Rarefaction,1,0.925879086,164.8964808,160.6393971,169.1535645,VB147,25,Food_forest,Swalmen,Zand
21,i5,155,870,Observed,1,1,47.63871334,44.01435049,51.26307619,VB099,17,Forest,Sint-Truiden,Leem
22,i5,156,870,Rarefaction,1,0.982736526,49.08330706,46.483871,51.68274312,VB138,23,Forest,Swalmen,Zand
