X,i5,dna_code,m,Method,Order.q,SC,qD,qD.LCL,qD.UCL,unique_site,landuse,location,texture
1,i5,149,31042,Rarefaction,1,0.999641713,133.0972575,130.9837089,135.2108061,11,Forest,Boelenslaan,Zand
2,i5,2,31042,Rarefaction,1,0.999772771,131.4263251,129.7308186,133.1218316,25,Food_forest,Swalmen,Zand
3,i5,150,31042,Rarefaction,1,0.999818961,121.4442607,119.793659,123.0948623,10,Food_forest,Boelenslaan,Zand
4,i5,151,31042,Rarefaction,1,0.999773516,97.95884551,96.32609074,99.59160029,25,Food_forest,Swalmen,Zand
5,i5,5,31042,Rarefaction,1,0.999854066,183.4802017,181.465158,185.4952454,8,Food_forest,Boelenslaan,Zand
6,i5,6,31042,Rarefaction,1,0.999693809,22.8048753,22.20943431,23.40031628,13,Forest,Groesbeek,Leem
7,i5,7,31042,Rarefaction,1,0.999700606,69.06976996,68.01699713,70.12254279,12,Arable_field,Groesbeek,Leem
8,i5,8,31042,Rarefaction,1,0.999995595,12.18139618,11.89755052,12.46524184,22,Forest,Amsterdam,Klei
9,i5,9,31042,Rarefaction,1,0.999815017,35.37268553,34.70068852,36.04468254,4,Arable_field,Haarzuilens,Klei
10,i5,10,31042,Rarefaction,1,0.999822983,95.60308979,93.98791279,97.2182668,23,Forest,Swalmen,Zand
11,i5,11,31042,Rarefaction,1,0.999631544,125.7551584,123.6738293,127.8364875,7,Food_forest,Vlaardingen,Klei
12,i5,12,31042,Rarefaction,1,0.999751594,102.8298986,101.2427766,104.4170205,19,Arable_field,Sint-Truiden,Leem
13,i5,13,31042,Rarefaction,1,0.999528472,82.50737672,81.36394157,83.65081186,3,Forest,Haarzuilens,Klei
14,i5,152,31042,Rarefaction,1,0.999846086,100.8457855,99.19552732,102.4960438,11,Forest,Boelenslaan,Zand
15,i5,15,31042,Rarefaction,1,0.999683546,94.52884191,92.73890086,96.31878296,5,Forest,Vlaardingen,Klei
16,i5,16,31042,Rarefaction,1,0.999881149,32.4201985,32.06670239,32.77369462,20,Grassland,Amsterdam,Klei
17,i5,17,31042,Rarefaction,1,0.999797631,64.64840488,63.76479472,65.53201504,22,Forest,Amsterdam,Klei
18,i5,18,31042,Rarefaction,1,0.999666773,166.6685342,164.1397491,169.1973192,1,Food_forest,Haarzuilens,Klei
19,i5,19,31042,Rarefaction,1,0.999842644,112.553197,111.023587,114.0828071,14,Grassland,Groesbeek,Leem
20,i5,235,31042,Rarefaction,1,0.999288952,52.30770664,51.37879603,53.23661724,35,Food_forest,Rijswijk,Klei
21,i5,236,31042,Rarefaction,1,0.999156102,68.74977365,67.85281672,69.64673058,29,Grassland,Nevele,Zand
22,i5,237,31042,Rarefaction,1,0.999813641,116.8608939,115.469375,118.2524128,52,Arable_field,Vaassen,Zand
23,i5,238,31042,Rarefaction,1,0.999584872,147.2427726,145.3934611,149.092084,45,Grassland,Malden,Leem
24,i5,239,31042,Rarefaction,1,0.9993576,79.07110017,78.06884242,80.07335791,44,Arable_field,Etten-Leur,Zand
25,i5,240,31042,Rarefaction,1,0.999385373,144.9128521,143.2495655,146.5761387,45,Grassland,Malden,Leem
26,i5,241,31042,Rarefaction,1,0.999697089,127.9026211,125.8354293,129.9698129,38,Grassland,Oostwaard,Klei
27,i5,153,31042,Rarefaction,1,0.999829883,72.99202609,71.77007562,74.21397656,13,Forest,Groesbeek,Leem
28,i5,242,31042,Rarefaction,1,0.999647423,66.56180102,65.53853768,67.58506435,47,Forest,Malden,Leem
29,i5,243,31042,Rarefaction,1,0.999546445,113.989319,112.4432033,115.5354347,48,Arable_field,Malden,Leem
30,i5,244,31042,Rarefaction,1,0.999140119,121.3884292,120.1188187,122.6580397,48,Arable_field,Malden,Leem
31,i5,245,31042,Rarefaction,1,0.999571803,105.863074,104.6079673,107.1181807,31,Grassland,Houthulst,Leem
32,i5,374,31042,Rarefaction,1,0.999106374,105.1222339,103.4706531,106.7738148,39,Forest,Oostwaard,Klei
33,i5,247,31042,Rarefaction,1,0.999838081,114.2877591,112.6684308,115.9070874,45,Grassland,Malden,Leem
34,i5,248,31042,Rarefaction,1,0.999646522,96.53058471,95.35719171,97.7039777,38,Grassland,Oostwaard,Klei
35,i5,249,31042,Rarefaction,1,0.9995332,172.3065243,170.2316374,174.3814111,43,Forest,Etten-Leur,Zand
36,i5,250,31042,Rarefaction,1,0.999303906,176.807779,174.9001122,178.7154457,26,Food_forest,Nevele,Zand
37,i5,251,31042,Rarefaction,1,0.99942579,154.2277019,152.3370846,156.1183193,43,Forest,Etten-Leur,Zand
38,i5,154,31042,Rarefaction,1,0.99973305,142.9965986,141.335293,144.6579043,25,Food_forest,Swalmen,Zand
39,i5,252,31042,Rarefaction,1,0.999283638,96.87772193,95.49492237,98.26052149,34,Grassland,Rijswijk,Klei
40,i5,253,31042,Rarefaction,1,0.999100328,113.7737295,112.2080392,115.3394199,30,Food_forest,Houthulst,Leem
41,i5,254,31042,Rarefaction,1,0.999417693,64.55665845,63.39338749,65.71992941,37,Forest,Rijswijk,Klei
42,i5,255,31042,Rarefaction,1,0.999703191,24.16229353,23.87778538,24.44680168,45,Grassland,Malden,Leem
43,i5,256,31042,Rarefaction,1,0.999062441,123.448318,121.5138685,125.3827676,32,Forest,Houthulst,Leem
44,i5,257,31042,Rarefaction,1,0.999115161,110.1719698,108.9326593,111.4112803,38,Grassland,Oostwaard,Klei
45,i5,258,31042,Rarefaction,1,0.999354977,58.74363238,57.73520074,59.75206402,28,Forest,Nevele,Zand
46,i5,259,31042,Rarefaction,1,0.999853151,61.10215657,60.06962395,62.13468919,27,Arable_field,Nevele,Zand
47,i5,260,31042,Rarefaction,1,0.999008177,35.55180093,34.94943973,36.15416212,35,Food_forest,Rijswijk,Klei
48,i5,261,31042,Rarefaction,1,0.999644691,106.6774325,105.5515088,107.8033563,48,Arable_field,Malden,Leem
49,i5,155,31042,Rarefaction,1,0.999917466,71.49264773,70.45047096,72.5348245,17,Forest,Sint-Truiden,Leem
50,i5,262,31042,Rarefaction,1,0.999581309,49.25839507,48.14036312,50.37642701,39,Forest,Oostwaard,Klei
51,i5,263,31042,Rarefaction,1,0.999198969,116.6005,114.5924108,118.6085892,26,Food_forest,Nevele,Zand
52,i5,264,31042,Rarefaction,1,0.999798476,47.80696826,46.89135047,48.72258605,36,Arable_field,Rijswijk,Klei
53,i5,265,31042,Rarefaction,1,0.999204268,74.33782898,73.13534944,75.54030853,37,Forest,Rijswijk,Klei
54,i5,266,31042,Rarefaction,1,0.999431423,102.7028733,101.4564974,103.9492491,44,Arable_field,Etten-Leur,Zand
55,i5,267,31042,Rarefaction,1,0.999511926,69.02835674,68.14542545,69.91128802,48,Arable_field,Malden,Leem
56,i5,268,31042,Rarefaction,1,0.999224417,74.45568487,73.41667031,75.49469943,39,Forest,Oostwaard,Klei
57,i5,269,31042,Rarefaction,1,0.999772257,186.6650924,184.9423801,188.3878047,41,Food_forest,Etten-Leur,Zand
58,i5,270,31042,Rarefaction,1,0.999805823,52.832192,52.06922153,53.59516248,33,Arable_field,Houthulst,Leem
59,i5,271,31042,Rarefaction,1,0.999569688,100.3373382,98.86655959,101.8081167,29,Grassland,Nevele,Zand
60,i5,156,31042,Rarefaction,1,0.999852962,129.2345018,127.8276759,130.6413276,23,Forest,Swalmen,Zand
61,i5,272,31042,Rarefaction,1,0.999802663,124.036262,122.6950248,125.3774991,42,Grassland,Etten-Leur,Zand
