session,site,location,landuse,trap,species,abundance
3,AQ,Etten-Leur,Forest,1,PORCELLIO_SCABER,186
3,AQ,Etten-Leur,Forest,1,ONISCUS_ASELLUS,83
3,AQ,Etten-Leur,Forest,1,PHILOSCIA_MUSCORUM,157
3,AX,Vaassen,Food_forest,2,PHILOSCIA_MUSCORUM,15
3,AX,Vaassen,Food_forest,2,PORCELLIO_SCABER,46
3,AX,Vaassen,Food_forest,2,ONISCUS_ASELLUS,28
3,AX,Vaassen,Food_forest,2,ARMADILLIDIUM_VULGARE,660
3,AX,Vaassen,Food_forest,2,HYLONISCUS_RIPARIUS,1
3,AQ,Etten-Leur,Forest,1,ONISCUS_ASELLUS,30
3,AQ,Etten-Leur,Forest,1,PHILOSCIA_MUSCORUM,78
3,AQ,Etten-Leur,Forest,1,PORCELLIO_SCABER,105
3,AX,Vaassen,Food_forest,2,PHILOSCIA_MUSCORUM,6
3,AX,Vaassen,Food_forest,2,PORCELLIO_SCABER,31
3,AX,Vaassen,Food_forest,2,ONISCUS_ASELLUS,34
3,AX,Vaassen,Food_forest,2,ARMADILLIDIUM_VULGARE,305
1,AU,Malden,Forest,2,PORCELLIO_SCABER,1
1,AU,Malden,Forest,2,ARMADILLIDIUM_VULGARE,3
1,AU,Malden,Forest,2,PHILOSCIA_MUSCORUM,14
1,AU,Malden,Forest,2,TRICHONISCUS_PUSILLUS,3
1,A,Haarzuilens,Food_forest,1,PORCELLIO_SCABER,1
1,AI,Rijswijk,Food_forest,1,ARMADILLIDIUM_VULGARE,1
1,AX,Vaassen,Food_forest,2,PORCELLIO_SCABER,4
1,AX,Vaassen,Food_forest,2,ONISCUS_ASELLUS,2
1,AX,Vaassen,Food_forest,2,ARMADILLIDIUM_VULGARE,12
1,AK,Rijswijk,Forest,2,ARMADILLIDIUM_VULGARE,3
1,AK,Rijswijk,Forest,2,TRICHONISCOIDES_SPEC.,1
1,AU,Malden,Forest,1,ARMADILLIDIUM_VULGARE,4
1,AU,Malden,Forest,1,PHILOSCIA_MUSCORUM,13
1,AU,Malden,Forest,1,PORCELLIO_SCABER,3
1,AU,Malden,Forest,1,ONISCUS_ASELLUS,1
1,AU,Malden,Forest,1,TRICHONISCUS_PUSILLUS,1
1,AS,Malden,Grassland,1,PHILOSCIA_MUSCORUM,1
1,W,Swalmen,Forest,1,ONISCUS_ASELLUS,1
1,W,Swalmen,Forest,1,ARMADILLIDIUM_VULGARE,5
1,AM,Oostwaard,Forest,1,ONISCUS_ASELLUS,17
1,AM,Oostwaard,Forest,1,PHILOSCIA_MUSCORUM,1
1,A,Haarzuilens,Food_forest,2,TRACHELIPUS_RATHKII,1
1,A,Haarzuilens,Food_forest,2,PHILOSCIA_MUSCORUM,2
1,AM,Oostwaard,Forest,2,ONISCUS_ASELLUS,1
1,AM,Oostwaard,Forest,2,PHILOSCIA_MUSCORUM,1
1,P,Sint-Truiden,Food_forest,2,PHILOSCIA_MUSCORUM,1
1,Y,Swalmen,Food_forest,1,TRACHELIPUS_RATHKII,1
1,Y,Swalmen,Food_forest,1,ARMADILLIDIUM_VULGARE,1
1,AW,Vaassen,Forest,2,ONISCUS_ASELLUS,1
1,AW,Vaassen,Forest,1,ARMADILLIDIUM_PULCHELLUM,2
1,H,Boelenslaan,Food_forest,1,PHILOSCIA_MUSCORUM,1
1,AT,Malden,Food_forest,2,PHILOSCIA_MUSCORUM,5
1,AT,Malden,Food_forest,2,ARMADILLIDIUM_VULGARE,1
1,AT,Malden,Food_forest,2,ONISCUS_ASELLUS,1
1,B,Haarzuilens,Grassland,1,TRACHELIPUS_RATHKII,1
1,Q,Sint-Truiden,Forest,1,PORCELLIO_SCABER,1
1,Q,Sint-Truiden,Forest,1,ONISCUS_ASELLUS,1
1,AN,Oostwaard,Food_forest,2,PHILOSCIA_MUSCORUM,3
1,AN,Oostwaard,Food_forest,2,TRACHELIPUS_RATHKII,1
1,AN,Oostwaard,Food_forest,2,PORCELLIO_SCABER,3
1,AN,Oostwaard,Food_forest,2,HYLONISCUS_RIPARIUS,1
2,AX,Vaassen,Food_forest,2,PHILOSCIA_MUSCORUM,5
2,AX,Vaassen,Food_forest,2,PORCELLIO_SCABER,16
2,AX,Vaassen,Food_forest,2,ONISCUS_ASELLUS,6
2,AX,Vaassen,Food_forest,2,ARMADILLIDIUM_VULGARE,19
2,AX,Vaassen,Food_forest,2,ARMADILLIDIUM_VULGARE,130
