session,site,location,landuse,trap,species,abundance
1,C,Haarzuilens,Forest,2,Brachydesmus_superus,3
1,C,Haarzuilens,Forest,1,Brachydesmus_superus,2
1,AW,Vaassen,Forest,1,Polydesmus_angustus,1
1,AT,Malden,Food_forest,2,Polydesmus_inconstans,1
2,AO,Etten-Leur,Food_forest,1,Brachyiulus_pusillus,2
2,AO,Etten-Leur,Food_forest,1,Cylindroiulus_latestriatus/britannicus,1
2,AN,Oostwaard,Food_forest,2,Brachyiulus_pusillus,2
2,AB,Nevele,Forest,2,Brachydesmus_superus,1
2,Y,Swalmen,Food_forest,2,Polydesmus_angustus,1
2,AB,Nevele,Forest,1,Cylindroiulus_punctatus,2
2,AB,Nevele,Forest,1,Brachyiulus_pusillus,1
2,AD,Houthulst,Food_forest,2,Cylindroiulus_latestriatus/britannicus,1
2,E,Vlaardingen,Forest,1,Brachydesmus_superus,1
2,H,Boelenslaan,Food_forest,2,Cylindroiulus_latestriatus/britannicus,1
3,AU,Malden,Forest,2,Polydesmus_denticulatus,1
3,AQ,Etten-Leur,Forest,2,Polydesmus_inconstans,1
2,AF,Houthulst,Forest,1,Blaniulus_guttulatus,1
2,AV,Malden,Arable_field,2,Cylindroiulus_latestriatus,53
3,V,Amsterdam,Forest,2,Polydesmus_denticulatus,1
3,AD,Houthulst,Food_forest,2,Cylindroiulus_punctatus,2
3,AD,Houthulst,Food_forest,2,Leptoiulus_belgicus,1
3,AD,Houthulst,Food_forest,2,Polydesmus_angustus,2
3,AD,Houthulst,Food_forest,2,Polydesmus_inconstans,4
3,AD,Houthulst,Food_forest,2,Cylindroiulus_caeruleocinctus,3
3,AD,Houthulst,Food_forest,2,Allajulus_nitidus,10
3,AD,Houthulst,Food_forest,2,Cylindroiulus_latestriatus,33
3,AD,Houthulst,Food_forest,1,Polydesmus_angustus,1
3,E,Vlaardingen,Forest,2,Polydesmus_denticulatus,1
3,E,Vlaardingen,Forest,2,Craspedosoma_rawlinsii,1
3,AB,Nevele,Forest,2,Brachyiulus_pusillus,3
3,AB,Nevele,Forest,2,Polydesmus_inconstans,3
3,AB,Nevele,Forest,2,Brachydesmus_superus,1
1,B,Haarzuilens,Grassland,1,Polydesmus_denticulatus,1
3,AF,Houthulst,Forest,1,Craspedosoma_rawlinsii,7
3,AF,Houthulst,Forest,1,Polydesmus_inconstans,1
2,AO,Etten-Leur,Food_forest,1,Cylindroiulus_caeruleocinctus,3
2,AO,Etten-Leur,Food_forest,1,Brachyiulus_pusillus,31
2,AO,Etten-Leur,Food_forest,1,Cylindroiulus_latestriatus,13
2,AO,Etten-Leur,Food_forest,1,Ophyiulus_pilosus,1
2,U,Amsterdam,Food_forest,1,Polydesmus_inconstans,1
2,I,Boelenslaan,Grassland,1,Polydesmus_angustus,5
2,I,Boelenslaan,Grassland,1,Cylindroiulus_caeruleocinctus,2
2,H,Boelenslaan,Food_forest,1,Polydesmus_denticulatus,5
2,AQ,Etten-Leur,Forest,2,Polydesmus_angustus,2
2,G,Vlaardingen,Food_forest,2,Ophyiulus_pilosus,7
2,J,Boelenslaan,Food_forest,2,Cylindroiulus_caeruleocinctus,3
2,J,Boelenslaan,Food_forest,2,Cylindroiulus_punctatus,1
2,J,Boelenslaan,Food_forest,2,Cylindroiulus_latestriatus,3
2,J,Boelenslaan,Food_forest,2,Polydesmus_angustus,8
2,J,Boelenslaan,Food_forest,2,Polydesmus_denticulatus,2
2,J,Boelenslaan,Food_forest,2,Brachydesmus_superus,7
2,AN,Oostwaard,Food_forest,1,Polydesmus_denticulatus,1
2,AP,Etten-Leur,Grassland,1,Cylindroiulus_caeruleocinctus,1
2,AP,Etten-Leur,Grassland,1,Polydesmus_angustus,1
1,Y,Swalmen,Food_forest,2,Cylindroiulus_latestriatus,12
2,AT,Malden,Food_forest,2,Brachyiulus_pusillus,13
2,AT,Malden,Food_forest,2,Polydesmus_inconstans,10
2,G,Vlaardingen,Food_forest,1,Brachyiulus_pusillus,3
2,G,Vlaardingen,Food_forest,1,Ophyiulus_pilosus,3
2,G,Vlaardingen,Food_forest,1,Brachydesmus_superus,6
2,U,Amsterdam,Food_forest,2,Brachydesmus_superus,2
2,U,Amsterdam,Food_forest,2,Polydesmus_denticulatus,1
2,U,Amsterdam,Food_forest,2,Brachyiulus_pusillus,26
2,S,Sint-Truiden,Arable_field,2,Polydesmus_inconstans,4
1,Q,Sint-Truiden,Forest,2,Cylindroiulus_punctatus,3
1,Q,Sint-Truiden,Forest,2,Craspedosoma_rawlinsii,1
1,Q,Sint-Truiden,Forest,2,Polydesmus_angustus,1
1,Q,Sint-Truiden,Forest,2,Melogona_gallica,1
1,Q,Sint-Truiden,Forest,2,Chordeuma_sylvestre,1
2,AF,Houthulst,Forest,2,Leptoiulus_kervillei,1
2,AF,Houthulst,Forest,2,Cylindroiulus_caeruleocinctus,1
2,AF,Houthulst,Forest,2,Polydesmus_angustus,5
2,AF,Houthulst,Forest,2,Polydesmus_coriaceus,2
