code,site,location,landuse,species,abundance
VB001,A,Haarzuilens,Food_forest,oribatid,594.89
VB001,A,Haarzuilens,Food_forest,other,331.70
VB001,A,Haarzuilens,Food_forest,juvenile,0
VB002,A,Haarzuilens,Food_forest,oribatid,NA
VB002,A,Haarzuilens,Food_forest,other,NA
VB002,A,Haarzuilens,Food_forest,juvenile,NA
VB003,A,Haarzuilens,Food_forest,oribatid,442.17
VB003,A,Haarzuilens,Food_forest,other,396.55
VB003,A,Haarzuilens,Food_forest,juvenile,0
VB004,A,Haarzuilens,Food_forest,oribatid,NA
VB004,A,Haarzuilens,Food_forest,other,NA
VB004,A,Haarzuilens,Food_forest,juvenile,NA
VB005,A,Haarzuilens,Food_forest,oribatid,1446.69
VB005,A,Haarzuilens,Food_forest,other,410.21
VB005,A,Haarzuilens,Food_forest,juvenile,0.00
VB006,A,Haarzuilens,Food_forest,oribatid,NA
VB006,A,Haarzuilens,Food_forest,other,NA
VB006,A,Haarzuilens,Food_forest,juvenile,NA
VB007,B,Haarzuilens,Grassland,oribatid,583.10
VB007,B,Haarzuilens,Grassland,other,556.71
VB007,B,Haarzuilens,Grassland,juvenile,0.00
VB008,B,Haarzuilens,Grassland,oribatid,NA
VB008,B,Haarzuilens,Grassland,other,NA
VB008,B,Haarzuilens,Grassland,juvenile,NA
VB009,B,Haarzuilens,Grassland,oribatid,375.61
VB009,B,Haarzuilens,Grassland,other,467.14
VB009,B,Haarzuilens,Grassland,juvenile,0.00
VB010,B,Haarzuilens,Grassland,oribatid,NA
VB010,B,Haarzuilens,Grassland,other,NA
VB010,B,Haarzuilens,Grassland,juvenile,NA
VB011,B,Haarzuilens,Grassland,oribatid,557.86
VB011,B,Haarzuilens,Grassland,other,1016.01
VB011,B,Haarzuilens,Grassland,juvenile,0.00
VB012,B,Haarzuilens,Grassland,oribatid,NA
VB012,B,Haarzuilens,Grassland,other,NA
VB012,B,Haarzuilens,Grassland,juvenile,NA
VB013,C,Haarzuilens,Forest,oribatid,167.65
VB013,C,Haarzuilens,Forest,other,302.28
VB013,C,Haarzuilens,Forest,juvenile,22.86
VB014,C,Haarzuilens,Forest,oribatid,NA
VB014,C,Haarzuilens,Forest,other,NA
VB014,C,Haarzuilens,Forest,juvenile,NA
VB015,C,Haarzuilens,Forest,oribatid,510.01
VB015,C,Haarzuilens,Forest,other,108.91
VB015,C,Haarzuilens,Forest,juvenile,21.25
VB016,C,Haarzuilens,Forest,oribatid,NA
VB016,C,Haarzuilens,Forest,other,NA
VB016,C,Haarzuilens,Forest,juvenile,NA
VB017,C,Haarzuilens,Forest,oribatid,280.24
