code,site,location,landuse,soiltexture,previous_lu,year_establ,
VB001,A,Haarzuilens,Food_forest,clay,Grassland,2015,
VB002,A,Haarzuilens,Food_forest,clay,Grassland,2015,
VB003,A,Haarzuilens,Food_forest,clay,Grassland,2015,
VB004,A,Haarzuilens,Food_forest,clay,Grassland,2015,
VB005,A,Haarzuilens,Food_forest,clay,Grassland,2015,
VB006,A,Haarzuilens,Food_forest,clay,Grassland,2015,
VB007,B,Haarzuilens,Grassland,clay,NA,NA,
VB008,B,Haarzuilens,Grassland,clay,NA,NA,
VB009,B,Haarzuilens,Grassland,clay,NA,NA,
VB010,B,Haarzuilens,Grassland,clay,NA,NA,
VB011,B,Haarzuilens,Grassland,clay,NA,NA,
VB012,B,Haarzuilens,Grassland,clay,NA,NA,
VB013,C,Haarzuilens,Forest,clay,NA,2015,
VB014,C,Haarzuilens,Forest,clay,NA,2015,
VB015,C,Haarzuilens,Forest,clay,NA,2015,
VB016,C,Haarzuilens,Forest,clay,NA,2015,
VB017,C,Haarzuilens,Forest,clay,NA,2015,
VB018,C,Haarzuilens,Forest,clay,NA,2015,
VB019,D,Haarzuilens,Arable_field,clay,NA,NA,
VB020,D,Haarzuilens,Arable_field,clay,NA,NA,
VB021,D,Haarzuilens,Arable_field,clay,NA,NA,
VB022,D,Haarzuilens,Arable_field,clay,NA,NA,
VB023,D,Haarzuilens,Arable_field,clay,NA,NA,
VB024,D,Haarzuilens,Arable_field,clay,NA,NA,
VB025,E,Vlaardingen,Forest,clay,NA,1993,
VB026,E,Vlaardingen,Forest,clay,NA,1993,
VB027,E,Vlaardingen,Forest,clay,NA,1993,
VB028,E,Vlaardingen,Forest,clay,NA,1993,
VB029,E,Vlaardingen,Forest,clay,NA,1993,
VB030,E,Vlaardingen,Forest,clay,NA,1993,
VB031,F,Vlaardingen,Grassland,clay,NA,NA,
VB032,F,Vlaardingen,Grassland,clay,NA,NA,
VB033,F,Vlaardingen,Grassland,clay,NA,NA,
VB034,F,Vlaardingen,Grassland,clay,NA,NA,
VB035,F,Vlaardingen,Grassland,clay,NA,NA,
VB036,F,Vlaardingen,Grassland,clay,NA,NA,
VB037,G,Vlaardingen,Food_forest,clay,Grassland,2014,
VB038,G,Vlaardingen,Food_forest,clay,Grassland,2014,
VB039,G,Vlaardingen,Food_forest,clay,Grassland,2014,
VB040,G,Vlaardingen,Food_forest,clay,Grassland,2014,
VB041,G,Vlaardingen,Food_forest,clay,Grassland,2014,
VB042,G,Vlaardingen,Food_forest,clay,Grassland,2014,
VB043,H,Boelenslaan,Food_forest,sand,Grassland,2013,
VB044,H,Boelenslaan,Food_forest,sand,Grassland,2013,
VB045,H,Boelenslaan,Food_forest,sand,Grassland,2013,
VB046,H,Boelenslaan,Food_forest,sand,Grassland,2013,
VB047,H,Boelenslaan,Food_forest,sand,Grassland,2013,
VB048,H,Boelenslaan,Food_forest,sand,Grassland,2013,
VB049,I,Boelenslaan,Grassland,sand,NA,NA,
VB050,I,Boelenslaan,Grassland,sand,NA,NA,
VB051,I,Boelenslaan,Grassland,sand,NA,NA,
VB052,I,Boelenslaan,Grassland,sand,NA,NA,
VB053,I,Boelenslaan,Grassland,sand,NA,NA,
VB054,I,Boelenslaan,Grassland,sand,NA,NA,
VB055,J,Boelenslaan,Food_forest,sand,Grassland,1993,
VB056,J,Boelenslaan,Food_forest,sand,Grassland,1993,
VB057,J,Boelenslaan,Food_forest,sand,Grassland,1993,
VB058,J,Boelenslaan,Food_forest,sand,Grassland,1993,
VB059,J,Boelenslaan,Food_forest,sand,Grassland,1993,
VB060,J,Boelenslaan,Food_forest,sand,Grassland,1993,
VB061,K,Boelenslaan,Forest,sand,NA,1966,
