code,site,location,landuse,species,abundance
VB001,A,Haarzuilens,Food_forest,total,24352.44478
VB002,A,Haarzuilens,Food_forest,total,36283.09707
VB003,A,Haarzuilens,Food_forest,total,34478.39717
VB004,A,Haarzuilens,Food_forest,total,32701.83058
VB005,A,Haarzuilens,Food_forest,total,28790.05593
VB006,A,Haarzuilens,Food_forest,total,4210.800883
VB007,B,Haarzuilens,Grassland,total,24563.40212
VB008,B,Haarzuilens,Grassland,total,19102.1258
VB009,B,Haarzuilens,Grassland,total,36682.6541
VB010,B,Haarzuilens,Grassland,total,82128.90849
VB011,B,Haarzuilens,Grassland,total,29155.57218
VB012,B,Haarzuilens,Grassland,total,47326.32401
VB013,C,Haarzuilens,Forest,total,17820.11709
VB014,C,Haarzuilens,Forest,total,5341.59479
VB015,C,Haarzuilens,Forest,total,5426.866756
VB016,C,Haarzuilens,Forest,total,32108.8794
VB017,C,Haarzuilens,Forest,total,11834.4228
VB018,C,Haarzuilens,Forest,total,23661.55512
VB019,D,Haarzuilens,Arable_field,total,5340.511447
VB020,D,Haarzuilens,Arable_field,total,10475.03097
VB021,D,Haarzuilens,Arable_field,total,17182.82006
VB022,D,Haarzuilens,Arable_field,total,19909.76064
VB023,D,Haarzuilens,Arable_field,total,14496.31541
VB024,D,Haarzuilens,Arable_field,total,5318.065427
VB025,E,Vlaardingen,Forest,total,9121.310333
VB026,E,Vlaardingen,Forest,total,17587.07041
VB027,E,Vlaardingen,Forest,total,32087.05987
VB028,E,Vlaardingen,Forest,total,31180.80994
VB029,E,Vlaardingen,Forest,total,22011.62298
VB030,E,Vlaardingen,Forest,total,35327.99724
VB031,F,Vlaardingen,Grassland,total,26841.89417
VB032,F,Vlaardingen,Grassland,total,32548.81424
VB033,F,Vlaardingen,Grassland,total,71558.35516
VB034,F,Vlaardingen,Grassland,total,25311.91202
VB035,F,Vlaardingen,Grassland,total,28851.40361
VB036,F,Vlaardingen,Grassland,total,39190.70093
VB037,G,Vlaardingen,Food_forest,total,16536.18355
VB038,G,Vlaardingen,Food_forest,total,18984.24976
VB039,G,Vlaardingen,Food_forest,total,17221.11156
VB040,G,Vlaardingen,Food_forest,total,28637.1311
VB041,G,Vlaardingen,Food_forest,total,42727.46069
VB042,G,Vlaardingen,Food_forest,total,36151.44923
VB043,H,Boelenslaan,Food_forest,total,7419.214245
VB044,H,Boelenslaan,Food_forest,total,NA
VB045,H,Boelenslaan,Food_forest,total,14243.20218
VB046,H,Boelenslaan,Food_forest,total,8638.088197
VB047,H,Boelenslaan,Food_forest,total,28820.83277
VB048,H,Boelenslaan,Food_forest,total,12319.27089
VB049,I,Boelenslaan,Grassland,total,22111.6662
VB050,I,Boelenslaan,Grassland,total,21213.81417
VB051,I,Boelenslaan,Grassland,total,14254.63953
VB052,I,Boelenslaan,Grassland,total,15643.81428
VB053,I,Boelenslaan,Grassland,total,14739.27367
VB054,I,Boelenslaan,Grassland,total,16424.4795
VB055,J,Boelenslaan,Food_forest,total,4356.342472
VB056,J,Boelenslaan,Food_forest,total,6401.342255
VB057,J,Boelenslaan,Food_forest,total,1758.031592
VB058,J,Boelenslaan,Food_forest,total,7469.434354
VB059,J,Boelenslaan,Food_forest,total,11563.95573
VB060,J,Boelenslaan,Food_forest,total,15917.36402
VB061,K,Boelenslaan,Forest,total,7722.048462
VB062,K,Boelenslaan,Forest,total,14866.59992
VB063,K,Boelenslaan,Forest,total,14780.67749
VB064,K,Boelenslaan,Forest,total,21238.17989
VB065,K,Boelenslaan,Forest,total,12286.24984
VB066,K,Boelenslaan,Forest,total,3331.70904
VB067,L,Groesbeek,Arable_field,total,30496.44734
VB068,L,Groesbeek,Arable_field,total,7443.467228
