code,Bacteria_total,Microbial,AMF_PLFA,Actinobacteria_total,Fungi_total,Total_PLFA,AMF_NLFA,site,location,landuse
VB001,38.76581298,10.20961297,3.543039307,6.385718647,1.991581999,53.90354263,1.588667196,A,Haarzuilens,Food_forest
VB002,40.47433394,11.09945501,3.10112342,7.180851463,2.780966954,56.83858418,1.764268088,A,Haarzuilens,Food_forest
VB003,40.57138824,11.72258362,3.18981485,7.071870653,2.736936434,57.52511089,1.319187432,A,Haarzuilens,Food_forest
VB004,44.71968435,11.80585909,3.550434483,7.790319254,2.6788505,62.06694151,1.687136835,A,Haarzuilens,Food_forest
VB005,38.11911947,9.988877153,3.038760744,6.858187513,2.020246939,52.5928135,1.460767922,A,Haarzuilens,Food_forest
VB006,36.51799172,11.13256144,2.397134496,6.843706971,2.087971356,51.53435911,1.18114335,A,Haarzuilens,Food_forest
VB007,42.71063355,10.97360584,4.564812787,6.651360058,2.416250001,59.98627155,2.854651276,B,Haarzuilens,Grassland
VB008,39.60555524,10.29236085,3.982089876,6.518554038,2.070474922,55.33533979,2.239988521,B,Haarzuilens,Grassland
VB009,31.49129438,9.539864365,3.368251151,4.894251403,2.271188559,46.09553119,1.985025013,B,Haarzuilens,Grassland
VB010,44.34388988,11.82288243,4.43960605,6.985758964,2.61873812,62.45389867,2.207683892,B,Haarzuilens,Grassland
VB011,40.26251041,11.7869915,4.183821615,6.443842339,4.581644639,60.10393372,2.105616144,B,Haarzuilens,Grassland
VB012,36.41805691,11.42710226,3.415253113,5.7416967,3.220932999,53.88990271,3.091479435,B,Haarzuilens,Grassland
VB013,34.91035357,9.357116321,2.681933522,5.618124424,2.068898966,48.46531111,2.146472231,C,Haarzuilens,Forest
VB014,26.18571179,8.782198248,2.675684628,3.843091562,3.313183333,40.4610574,2.548886765,C,Haarzuilens,Forest
VB015,29.02853139,8.59558882,2.571800175,4.799776797,2.372382515,42.09186169,2.284901693,C,Haarzuilens,Forest
VB016,28.68075384,8.646317227,2.065338456,4.721520572,2.260107716,41.17931944,1.81901614,C,Haarzuilens,Forest
VB017,41.01220821,11.99148226,3.859035419,5.520776407,3.643797168,59.90063586,2.542475688,C,Haarzuilens,Forest
VB018,31.25200893,9.064684619,2.726560078,4.852748113,2.587354644,45.09556168,3.605224857,C,Haarzuilens,Forest
VB019,31.94422819,9.517387569,1.943752874,6.324698458,1.250269859,44.02616929,1.550647088,D,Haarzuilens,Arable_field
VB020,31.94631179,9.52562257,1.97575983,6.262068062,1.727838748,44.49834696,1.300996523,D,Haarzuilens,Arable_field
