code,site,location,landuse,species,abundance
VB001,A,Haarzuilens,Food_forest,total,274.0101384
VB002,A,Haarzuilens,Food_forest,total,NA
VB003,A,Haarzuilens,Food_forest,total,210.5558675
VB004,A,Haarzuilens,Food_forest,total,NA
VB005,A,Haarzuilens,Food_forest,total,272.4283701
VB006,A,Haarzuilens,Food_forest,total,NA
VB007,B,Haarzuilens,Grassland,total,131.9226406
VB008,B,Haarzuilens,Grassland,total,NA
VB009,B,Haarzuilens,Grassland,total,814.3425289
VB010,B,Haarzuilens,Grassland,total,NA
VB011,B,Haarzuilens,Grassland,total,1517.274834
VB012,B,Haarzuilens,Grassland,total,NA
VB013,C,Haarzuilens,Forest,total,883.9666734
VB014,C,Haarzuilens,Forest,total,NA
VB015,C,Haarzuilens,Forest,total,143.4415343
VB016,C,Haarzuilens,Forest,total,NA
VB017,C,Haarzuilens,Forest,total,1351.877319
VB018,C,Haarzuilens,Forest,total,NA
VB019,D,Haarzuilens,Arable_field,total,5.5285272
VB020,D,Haarzuilens,Arable_field,total,NA
VB021,D,Haarzuilens,Arable_field,total,13.92718866
VB022,D,Haarzuilens,Arable_field,total,NA
VB023,D,Haarzuilens,Arable_field,total,18.43261344
VB024,D,Haarzuilens,Arable_field,total,NA
VB025,E,Vlaardingen,Forest,total,98.44026863
VB026,E,Vlaardingen,Forest,total,NA
VB027,E,Vlaardingen,Forest,total,306.4903846
VB028,E,Vlaardingen,Forest,total,NA
VB029,E,Vlaardingen,Forest,total,396.4697895
VB030,E,Vlaardingen,Forest,total,NA
VB031,F,Vlaardingen,Grassland,total,1155.94261
VB032,F,Vlaardingen,Grassland,total,NA
VB033,F,Vlaardingen,Grassland,total,849.221822
VB034,F,Vlaardingen,Grassland,total,NA
VB035,F,Vlaardingen,Grassland,total,1559.621761
VB036,F,Vlaardingen,Grassland,total,NA
VB037,G,Vlaardingen,Food_forest,total,295.3100756
VB038,G,Vlaardingen,Food_forest,total,NA
VB039,G,Vlaardingen,Food_forest,total,664.9191228
VB040,G,Vlaardingen,Food_forest,total,NA
VB041,G,Vlaardingen,Food_forest,total,664.9159077
VB042,G,Vlaardingen,Food_forest,total,NA
VB043,H,Boelenslaan,Food_forest,total,302.714253
VB044,H,Boelenslaan,Food_forest,total,NA
VB045,H,Boelenslaan,Food_forest,total,795.0782815
VB046,H,Boelenslaan,Food_forest,total,NA
VB047,H,Boelenslaan,Food_forest,total,272.9580637
VB048,H,Boelenslaan,Food_forest,total,NA
VB049,I,Boelenslaan,Grassland,total,99.31203842
VB050,I,Boelenslaan,Grassland,total,NA
VB051,I,Boelenslaan,Grassland,total,381.9091305
VB052,I,Boelenslaan,Grassland,total,NA
VB053,I,Boelenslaan,Grassland,total,46.00345026
VB054,I,Boelenslaan,Grassland,total,NA
VB055,J,Boelenslaan,Food_forest,total,465.4435244
VB056,J,Boelenslaan,Food_forest,total,NA
VB057,J,Boelenslaan,Food_forest,total,1089.310322
VB058,J,Boelenslaan,Food_forest,total,NA
VB059,J,Boelenslaan,Food_forest,total,632.667067
VB060,J,Boelenslaan,Food_forest,total,NA
VB061,K,Boelenslaan,Forest,total,757.9787234
VB062,K,Boelenslaan,Forest,total,NA
VB063,K,Boelenslaan,Forest,total,309.2441925
VB064,K,Boelenslaan,Forest,total,NA
VB065,K,Boelenslaan,Forest,total,100.43627
VB066,K,Boelenslaan,Forest,total,NA
VB067,L,Groesbeek,Arable_field,total,56.47894142
VB068,L,Groesbeek,Arable_field,total,NA
VB069,L,Groesbeek,Arable_field,total,40.86812501
VB070,L,Groesbeek,Arable_field,total,NA
VB071,L,Groesbeek,Arable_field,total,62.47038042
VB072,L,Groesbeek,Arable_field,total,NA
VB073,M,Groesbeek,Forest,total,176.7552375
VB074,M,Groesbeek,Forest,total,NA
VB075,M,Groesbeek,Forest,total,200.7722008
VB076,M,Groesbeek,Forest,total,NA
VB077,M,Groesbeek,Forest,total,129.9038711
VB078,M,Groesbeek,Forest,total,NA
VB081,N,Groesbeek,Grassland,total,341.459541
VB082,N,Groesbeek,Grassland,total,NA
VB083,N,Groesbeek,Grassland,total,356.4869828
VB084,N,Groesbeek,Grassland,total,NA
VB085,O,Groesbeek,Food_forest,total,310.3876397
VB086,O,Groesbeek,Food_forest,total,NA
VB087,O,Groesbeek,Food_forest,total,1663.724913
