code,site,location,landuse
VB001,A,Haarzuilens,Food_forest
VB002,A,Haarzuilens,Food_forest
VB003,A,Haarzuilens,Food_forest
VB004,A,Haarzuilens,Food_forest
VB005,A,Haarzuilens,Food_forest
VB006,A,Haarzuilens,Food_forest
VB007,B,Haarzuilens,Grassland
VB008,B,Haarzuilens,Grassland
VB009,B,Haarzuilens,Grassland
VB010,B,Haarzuilens,Grassland
VB011,B,Haarzuilens,Grassland
VB012,B,Haarzuilens,Grassland
VB013,C,Haarzuilens,Forest
VB014,C,Haarzuilens,Forest
VB015,C,Haarzuilens,Forest
VB016,C,Haarzuilens,Forest
VB017,C,Haarzuilens,Forest
VB018,C,Haarzuilens,Forest
VB019,D,Haarzuilens,Arable_field
VB020,D,Haarzuilens,Arable_field
VB021,D,Haarzuilens,Arable_field
VB022,D,Haarzuilens,Arable_field
VB023,D,Haarzuilens,Arable_field
VB024,D,Haarzuilens,Arable_field
VB025,E,Vlaardingen,Forest
VB026,E,Vlaardingen,Forest
VB027,E,Vlaardingen,Forest
VB028,E,Vlaardingen,Forest
VB029,E,Vlaardingen,Forest
VB030,E,Vlaardingen,Forest
VB031,F,Vlaardingen,Grassland
VB032,F,Vlaardingen,Grassland
VB033,F,Vlaardingen,Grassland
VB034,F,Vlaardingen,Grassland
VB035,F,Vlaardingen,Grassland
VB036,F,Vlaardingen,Grassland
VB037,G,Vlaardingen,Food_forest
VB038,G,Vlaardingen,Food_forest
VB039,G,Vlaardingen,Food_forest
VB040,G,Vlaardingen,Food_forest
VB041,G,Vlaardingen,Food_forest
VB042,G,Vlaardingen,Food_forest
VB043,H,Boelenslaan,Food_forest
VB044,H,Boelenslaan,Food_forest
VB045,H,Boelenslaan,Food_forest
VB046,H,Boelenslaan,Food_forest
VB047,H,Boelenslaan,Food_forest
VB048,H,Boelenslaan,Food_forest
VB049,I,Boelenslaan,Grassland
VB050,I,Boelenslaan,Grassland
VB051,I,Boelenslaan,Grassland
VB052,I,Boelenslaan,Grassland
VB053,I,Boelenslaan,Grassland
VB054,I,Boelenslaan,Grassland
VB055,J,Boelenslaan,Food_forest
VB056,J,Boelenslaan,Food_forest
VB057,J,Boelenslaan,Food_forest
VB058,J,Boelenslaan,Food_forest
VB059,J,Boelenslaan,Food_forest
VB060,J,Boelenslaan,Food_forest
VB061,K,Boelenslaan,Forest
VB062,K,Boelenslaan,Forest
VB063,K,Boelenslaan,Forest
VB064,K,Boelenslaan,Forest
VB065,K,Boelenslaan,Forest
VB066,K,Boelenslaan,Forest
VB067,L,Groesbeek,Arable_field
VB068,L,Groesbeek,Arable_field
VB069,L,Groesbeek,Arable_field
VB070,L,Groesbeek,Arable_field
VB071,L,Groesbeek,Arable_field
VB072,L,Groesbeek,Arable_field
VB073,M,Groesbeek,Forest
VB074,M,Groesbeek,Forest
VB075,M,Groesbeek,Forest
VB076,M,Groesbeek,Forest
VB077,M,Groesbeek,Forest
VB078,M,Groesbeek,Forest
VB081,N,Groesbeek,Grassland
VB082,N,Groesbeek,Grassland
VB083,N,Groesbeek,Grassland
VB084,N,Groesbeek,Grassland
VB085,O,Groesbeek,Food_forest
VB086,O,Groesbeek,Food_forest
VB087,O,Groesbeek,Food_forest
VB088,O,Groesbeek,Food_forest
VB089,O,Groesbeek,Food_forest
VB090,O,Groesbeek,Food_forest
VB091,P,Sint-Truiden,Food_forest
VB092,P,Sint-Truiden,Food_forest
VB093,P,Sint-Truiden,Food_forest
VB094,P,Sint-Truiden,Food_forest
VB095,P,Sint-Truiden,Food_forest
VB096,P,Sint-Truiden,Food_forest
VB097,Q,Sint-Truiden,Forest
VB098,Q,Sint-Truiden,Forest
VB099,Q,Sint-Truiden,Forest
VB100,Q,Sint-Truiden,Forest
VB101,Q,Sint-Truiden,Forest
VB102,Q,Sint-Truiden,Forest
VB103,R,Sint-Truiden,Grassland
VB104,R,Sint-Truiden,Grassland
VB105,R,Sint-Truiden,Grassland
VB106,R,Sint-Truiden,Grassland
VB107,R,Sint-Truiden,Grassland
VB108,R,Sint-Truiden,Grassland
VB109,S,Sint-Truiden,Arable_field
VB110,S,Sint-Truiden,Arable_field
VB111,S,Sint-Truiden,Arable_field
VB112,S,Sint-Truiden,Arable_field
VB113,S,Sint-Truiden,Arable_field
VB114,S,Sint-Truiden,Arable_field
VB115,T,Amsterdam,Grassland
VB116,T,Amsterdam,Grassland
VB117,T,Amsterdam,Grassland
VB118,T,Amsterdam,Grassland
VB119,T,Amsterdam,Grassland
VB120,T,Amsterdam,Grassland
VB121,U,Amsterdam,Food_forest
VB122,U,Amsterdam,Food_forest
VB123,U,Amsterdam,Food_forest
VB124,U,Amsterdam,Food_forest
VB125,U,Amsterdam,Food_forest
VB126,U,Amsterdam,Food_forest
VB127,V,Amsterdam,Forest
VB128,V,Amsterdam,Forest
VB129,V,Amsterdam,Forest
VB130,V,Amsterdam,Forest
VB131,V,Amsterdam,Forest
VB132,V,Amsterdam,Forest
VB133,W,Swalmen,Forest
VB134,W,Swalmen,Forest
VB135,W,Swalmen,Forest
VB136,W,Swalmen,Forest
VB137,W,Swalmen,Forest
VB138,W,Swalmen,Forest
VB139,X,Swalmen,Grassland
VB140,X,Swalmen,Grassland
VB141,X,Swalmen,Grassland
VB142,X,Swalmen,Grassland
VB143,X,Swalmen,Grassland
VB144,X,Swalmen,Grassland
VB145,Y,Swalmen,Food_forest
VB146,Y,Swalmen,Food_forest
VB147,Y,Swalmen,Food_forest
VB148,Y,Swalmen,Food_forest
VB149,Y,Swalmen,Food_forest
VB150,Y,Swalmen,Food_forest
VB151,Z,Nevele,Food_forest
VB152,Z,Nevele,Food_forest
VB153,Z,Nevele,Food_forest
VB154,Z,Nevele,Food_forest
VB155,Z,Nevele,Food_forest
VB156,Z,Nevele,Food_forest
VB157,AA,Nevele,Arable_field
VB158,AA,Nevele,Arable_field
VB159,AA,Nevele,Arable_field
VB160,AA,Nevele,Arable_field
VB161,AA,Nevele,Arable_field
VB162,AA,Nevele,Arable_field
VB163,AB,Nevele,Forest
VB164,AB,Nevele,Forest
VB165,AB,Nevele,Forest
VB166,AB,Nevele,Forest
VB167,AB,Nevele,Forest
VB168,AB,Nevele,Forest
VB169,AC,Nevele,Grassland
VB170,AC,Nevele,Grassland
VB171,AC,Nevele,Grassland
VB172,AC,Nevele,Grassland
VB173,AC,Nevele,Grassland
VB174,AC,Nevele,Grassland
VB175,AD,Houthulst,Food_forest
VB176,AD,Houthulst,Food_forest
VB177,AD,Houthulst,Food_forest
VB178,AD,Houthulst,Food_forest
VB179,AD,Houthulst,Food_forest
VB180,AD,Houthulst,Food_forest
VB181,AE,Houthulst,Grassland
VB182,AE,Houthulst,Grassland
VB183,AE,Houthulst,Grassland
VB184,AE,Houthulst,Grassland
VB185,AE,Houthulst,Grassland
VB186,AE,Houthulst,Grassland
VB187,AF,Houthulst,Forest
VB188,AF,Houthulst,Forest
VB189,AF,Houthulst,Forest
VB190,AF,Houthulst,Forest
VB191,AF,Houthulst,Forest
VB192,AF,Houthulst,Forest
VB193,AG,Houthulst,Arable_field
VB194,AG,Houthulst,Arable_field
VB195,AG,Houthulst,Arable_field
VB196,AG,Houthulst,Arable_field
VB197,AG,Houthulst,Arable_field
VB198,AG,Houthulst,Arable_field
VB199,AH,Rijswijk,Grassland
VB200,AH,Rijswijk,Grassland
VB201,AH,Rijswijk,Grassland
VB202,AH,Rijswijk,Grassland
VB203,AH,Rijswijk,Grassland
VB204,AH,Rijswijk,Grassland
VB205,AI,Rijswijk,Food_forest
VB206,AI,Rijswijk,Food_forest
VB207,AI,Rijswijk,Food_forest
VB208,AI,Rijswijk,Food_forest
VB209,AI,Rijswijk,Food_forest
VB210,AI,Rijswijk,Food_forest
VB211,AJ,Rijswijk,Arable_field
VB212,AJ,Rijswijk,Arable_field
VB213,AJ,Rijswijk,Arable_field
VB214,AJ,Rijswijk,Arable_field
VB215,AJ,Rijswijk,Arable_field
VB216,AJ,Rijswijk,Arable_field
VB217,AK,Rijswijk,Forest
VB218,AK,Rijswijk,Forest
VB219,AK,Rijswijk,Forest
VB220,AK,Rijswijk,Forest
VB221,AK,Rijswijk,Forest
VB222,AK,Rijswijk,Forest
VB223,AL,Oostwaard,Grassland
VB224,AL,Oostwaard,Grassland
VB225,AL,Oostwaard,Grassland
VB226,AL,Oostwaard,Grassland
VB227,AL,Oostwaard,Grassland
VB228,AL,Oostwaard,Grassland
VB229,AM,Oostwaard,Forest
VB230,AM,Oostwaard,Forest
VB231,AM,Oostwaard,Forest
VB232,AM,Oostwaard,Forest
VB233,AM,Oostwaard,Forest
VB234,AM,Oostwaard,Forest
VB235,AN,Oostwaard,Food_forest
VB236,AN,Oostwaard,Food_forest
VB237,AN,Oostwaard,Food_forest
VB238,AN,Oostwaard,Food_forest
VB239,AN,Oostwaard,Food_forest
VB240,AN,Oostwaard,Food_forest
VB241,AO,Etten-Leur,Food_forest
VB242,AO,Etten-Leur,Food_forest
VB243,AO,Etten-Leur,Food_forest
VB244,AO,Etten-Leur,Food_forest
VB245,AO,Etten-Leur,Food_forest
VB246,AO,Etten-Leur,Food_forest
VB247,AP,Etten-Leur,Grassland
VB248,AP,Etten-Leur,Grassland
VB249,AP,Etten-Leur,Grassland
VB250,AP,Etten-Leur,Grassland
VB251,AP,Etten-Leur,Grassland
VB252,AP,Etten-Leur,Grassland
VB253,AQ,Etten-Leur,Forest
VB254,AQ,Etten-Leur,Forest
VB255,AQ,Etten-Leur,Forest
VB256,AQ,Etten-Leur,Forest
VB257,AQ,Etten-Leur,Forest
VB258,AQ,Etten-Leur,Forest
VB259,AR,Etten-Leur,Arable_field
VB260,AR,Etten-Leur,Arable_field
VB261,AR,Etten-Leur,Arable_field
VB262,AR,Etten-Leur,Arable_field
VB263,AR,Etten-Leur,Arable_field
VB264,AR,Etten-Leur,Arable_field
VB265,AS,Malden,Grassland
VB266,AS,Malden,Grassland
VB267,AS,Malden,Grassland
VB268,AS,Malden,Grassland
VB269,AS,Malden,Grassland
VB270,AS,Malden,Grassland
VB271,AT,Malden,Food_forest
VB272,AT,Malden,Food_forest
VB273,AT,Malden,Food_forest
VB274,AT,Malden,Food_forest
VB275,AT,Malden,Food_forest
VB276,AT,Malden,Food_forest
VB277,AU,Malden,Forest
VB278,AU,Malden,Forest
VB279,AU,Malden,Forest
VB280,AU,Malden,Forest
VB281,AU,Malden,Forest
VB282,AU,Malden,Forest
VB283,AV,Malden,Arable_field
VB284,AV,Malden,Arable_field
VB285,AV,Malden,Arable_field
VB286,AV,Malden,Arable_field
VB287,AV,Malden,Arable_field
VB288,AV,Malden,Arable_field
VB289,AW,Vaassen,Forest
VB290,AW,Vaassen,Forest
VB291,AW,Vaassen,Forest
VB292,AW,Vaassen,Forest
VB293,AW,Vaassen,Forest
VB294,AW,Vaassen,Forest
VB295,AX,Vaassen,Food_forest
VB296,AX,Vaassen,Food_forest
VB297,AX,Vaassen,Food_forest
VB298,AX,Vaassen,Food_forest
VB299,AX,Vaassen,Food_forest
VB300,AX,Vaassen,Food_forest
VB301,AY,Vaassen,Grassland
VB302,AY,Vaassen,Grassland
VB303,AY,Vaassen,Grassland
VB304,AY,Vaassen,Grassland
VB305,AY,Vaassen,Grassland
VB306,AY,Vaassen,Grassland
VB307,AZ,Vaassen,Arable_field
VB308,AZ,Vaassen,Arable_field
VB309,AZ,Vaassen,Arable_field
VB310,AZ,Vaassen,Arable_field
VB311,AZ,Vaassen,Arable_field
VB312,AZ,Vaassen,Arable_field
A1,A,Haarzuilens,Food_forest
A2,A,Haarzuilens,Food_forest
B1,B,Haarzuilens,Grassland
B2,B,Haarzuilens,Grassland
C1,C,Haarzuilens,Forest
C2,C,Haarzuilens,Forest
D1,D,Haarzuilens,Arable_field
