session,location,landuse,trap,site
1,Amsterdam,Forest,1,V
1,Amsterdam,Forest,2,V
1,Amsterdam,Grassland,1,T
1,Amsterdam,Grassland,2,T
1,Amsterdam,Food_forest,1,U
1,Amsterdam,Food_forest,2,U
1,Vaassen,Arable_field,1,AZ
1,Vaassen,Arable_field,2,AZ
1,Vaassen,Forest,1,AW
1,Vaassen,Forest,2,AW
1,Vaassen,Grassland,1,AY
1,Vaassen,Grassland,2,AY
1,Etten-Leur,Forest,1,AQ
1,Etten-Leur,Forest,2,AQ
1,Etten-Leur,Grassland,1,AP
1,Etten-Leur,Grassland,2,AP
1,Etten-Leur,Food_forest,1,AO
1,Etten-Leur,Food_forest,2,AO
1,Vaassen,Food_forest,1,AX
1,Vaassen,Food_forest,2,AX
1,Rijswijk,Arable_field,1,AJ
1,Rijswijk,Arable_field,2,AJ
1,Rijswijk,Forest,1,AK
1,Rijswijk,Forest,2,AK
1,Nevele,Arable_field,1,AA
1,Nevele,Forest,1,AB
1,Nevele,Forest,2,AB
1,Nevele,Food_forest,1,Z
1,Nevele,Food_forest,2,Z
1,Rijswijk,Grassland,1,AH
1,Rijswijk,Grassland,2,AH
1,Rijswijk,Food_forest,1,AI
1,Rijswijk,Food_forest,2,AI
1,Haarzuilens,Forest,1,C
1,Haarzuilens,Forest,2,C
1,Haarzuilens,Grassland,1,B
1,Haarzuilens,Grassland,2,B
1,Haarzuilens,Food_forest,1,A
1,Haarzuilens,Food_forest,2,A
1,Malden,Forest,1,AU
1,Malden,Forest,2,AU
1,Malden,Grassland,1,AS
1,Malden,Grassland,2,AS
1,Malden,Food_forest,1,AT
1,Malden,Food_forest,2,AT
1,Sint-Truiden,Arable_field,1,S
1,Sint-Truiden,Arable_field,2,S
1,Boelenslaan,Grassland,1,I
1,Boelenslaan,Grassland,2,I
1,Boelenslaan,Food_forest,1,H
1,Boelenslaan,Food_forest,2,H
1,Sint-Truiden,Forest,1,Q
1,Sint-Truiden,Forest,2,Q
1,Boelenslaan,Food_forest,1,J
1,Boelenslaan,Food_forest,2,J
1,Sint-Truiden,Grassland,1,R
1,Sint-Truiden,Grassland,2,R
1,Sint-Truiden,Food_forest,1,P
1,Sint-Truiden,Food_forest,2,P
1,Oostwaard,Forest,1,AM
1,Oostwaard,Forest,2,AM
1,Oostwaard,Grassland,1,AL
1,Oostwaard,Grassland,2,AL
1,Oostwaard,Food_forest,1,AN
1,Oostwaard,Food_forest,2,AN
1,Swalmen,Forest,1,W
1,Swalmen,Forest,2,W
1,Swalmen,Grassland,1,X
1,Swalmen,Grassland,2,X
1,Swalmen,Food_forest,1,Y
1,Swalmen,Food_forest,2,Y
1,Vlaardingen,Forest,1,E
1,Vlaardingen,Forest,2,E
1,Vlaardingen,Grassland,1,F
1,Vlaardingen,Grassland,2,F
1,Vlaardingen,Food_forest,1,G
1,Vlaardingen,Food_forest,2,G
1,Houthulst,Arable_field,1,AG
1,Houthulst,Arable_field,2,AG
1,Houthulst,Forest,1,AF
1,Houthulst,Forest,2,AF
1,Houthulst,Grassland,1,AE
1,Houthulst,Grassland,2,AE
1,Houthulst,Food_forest,1,AD
1,Houthulst,Food_forest,2,AD
2,Amsterdam,Forest,1,V
2,Amsterdam,Forest,2,V
2,Amsterdam,Grassland,1,T
2,Amsterdam,Grassland,2,T
2,Amsterdam,Food_forest,1,U
2,Amsterdam,Food_forest,2,U
2,Vaassen,Arable_field,1,AZ
2,Vaassen,Arable_field,2,AZ
2,Vaassen,Forest,1,AW
2,Vaassen,Grassland,1,AY
2,Vaassen,Grassland,2,AY
2,Etten-Leur,Forest,1,AQ
2,Etten-Leur,Forest,2,AQ
2,Etten-Leur,Grassland,1,AP
2,Etten-Leur,Grassland,2,AP
2,Etten-Leur,Food_forest,1,AO
2,Etten-Leur,Food_forest,2,AO
2,Vaassen,Food_forest,1,AX
2,Vaassen,Food_forest,2,AX
2,Rijswijk,Arable_field,1,AJ
2,Rijswijk,Arable_field,2,AJ
2,Rijswijk,Forest,1,AK
2,Rijswijk,Forest,2,AK
2,Nevele,Arable_field,1,AA
2,Nevele,Arable_field,2,AA
2,Nevele,Forest,1,AB
2,Nevele,Forest,2,AB
2,Nevele,Food_forest,1,Z
2,Nevele,Food_forest,2,Z
