"","group","dispersion","RE_variance","R2marg","R2cond","sigma","R2cond_R2marg"
"1","bacteria",0.25,0.46,0.06,0.79,0.25,0.73
"2","fungi",0.38,0.42,0.19,0.64,0.38,0.45
"3","AMF",0.72,0.84,0.19,0.7,0.72,0.51
"4","nematodes",0.51,0.34,0.14,0.43,0.51,0.29
"5","mites",0.65,0.31,0.6,0.69,0.65,0.09
"6","isopods",3.57,0.94,0.63,0.84,3.57,0.21
"7","millipedes",2.33,0.91,0.48,0.78,2.33,0.31
"8","centipedes",1.1,0.67,0.31,0.59,1.1,0.28
"9","harvestmen",1.52,0.51,0.32,0.48,1.52,0.16
"10","carabids",1.54,0.69,0.34,0.7,1.54,0.36
"11","earthworms",3.6,0.58,0.24,0.64,3.6,0.4
