"","species_group","method","Food forest/Forest","Food forest/Grassland","Food forest/Arable_field"
"1","bacteria","boot","1.14 [1.05, 1.22]","0.95 [0.88, 1.02]","1.38 [1.26, 1.5]"
"2","bacteria","Wald","1.14 [1.04, 1.24]","0.95 [0.87, 1.04]","1.38 [1.24, 1.54]"
"3","fungi","boot","0.81 [0.72, 0.9]","1.2 [1.06, 1.33]","1.82 [1.57, 2.06]"
"4","fungi","Wald","0.81 [0.71, 0.93]","1.2 [1.04, 1.38]","1.82 [1.54, 2.14]"
"5","AMF","boot","1.67 [1.29, 2.05]","0.45 [0.35, 0.56]","1.55 [1.14, 1.96]"
"6","AMF","Wald","1.67 [1.27, 2.19]","0.45 [0.35, 0.6]","1.55 [1.13, 2.13]"
"7","nematodes","boot","1.09 [0.85, 1.32]","0.77 [0.61, 0.94]","1.74 [1.22, 2.27]"
"8","nematodes","Wald","1.09 [0.84, 1.4]","0.77 [0.6, 1]","1.74 [1.22, 2.5]"
"9","springtails","boot","1.27 [0.65, 1.89]","0.8 [0.4, 1.19]","4.34 [1.28, 7.4]"
"10","springtails","Wald","1.27 [0.73, 2.22]","0.8 [0.45, 1.4]","4.34 [2.09, 8.99]"
"11","mites","boot","1.09 [0.66, 1.53]","1.79 [1.06, 2.53]","13.85 [5.8, 21.91]"
"12","mites","Wald","1.09 [0.68, 1.76]","1.79 [1.11, 2.91]","13.85 [7.13, 26.93]"
"13","isopods","boot","1.27 [0.49, 2.05]","11.58 [1.59, 21.57]","100.04 [-2.09109864119591e+27, 2.09109864119591e+27]"
"14","isopods","Wald","1.27 [0.65, 2.49]","11.58 [4.72, 28.42]","100.04 [18.51, 540.53]"
"15","millipedes","boot","2 [0.94, 3.05]","16.33 [1.3, 31.35]","5.58 [-2.45, 13.61]"
"16","millipedes","Wald","2 [1.11, 3.59]","16.33 [6.72, 39.67]","5.58 [2.17, 14.37]"
"17","centipedes","boot","0.85 [0.4, 1.29]","4.5 [-0.06, 9.06]","2.05 [-0.78, 4.88]"
"18","centipedes","Wald","0.85 [0.47, 1.52]","4.5 [1.94, 10.47]","2.05 [0.87, 4.85]"
"19","harvestmen","boot","0.63 [0.22, 1.05]","4 [-1.32, 9.32]","1.68 [-1.59, 4.94]"
"20","harvestmen","Wald","0.63 [0.3, 1.32]","4 [1.51, 10.57]","1.68 [0.54, 5.2]"
"21","carabids","boot","1.46 [0.69, 2.23]","0.62 [0.33, 0.91]","0.18 [0.08, 0.27]"
"22","carabids","Wald","1.46 [0.8, 2.68]","0.62 [0.36, 1.05]","0.18 [0.1, 0.31]"
"23","earthworms","boot","1.71 [1.17, 2.24]","0.52 [0.39, 0.64]","0.8 [0.52, 1.08]"
"24","earthworms","Wald","1.71 [1.18, 2.46]","0.52 [0.38, 0.7]","0.8 [0.53, 1.21]"
