"","property","method","Food forest/Forest","Food forest/Grassland","Food forest/Arable_field"
"1","bulkdensity","boot","1.1 [1.04, 1.16]","0.87 [0.82, 0.91]","0.77 [0.72, 0.82]"
"2","bulkdensity","Wald","1.1 [1.03, 1.18]","0.87 [0.81, 0.93]","0.77 [0.71, 0.83]"
"3","pH_KCl","boot","1.15 [1.09, 1.21]","1.05 [1.02, 1.08]","0.94 [0.91, 0.96]"
"4","pH_KCl","Wald","1.15 [1.08, 1.22]","1.05 [1.01, 1.08]","0.94 [0.91, 0.97]"
"5","C_total","boot","0.91 [0.83, 0.99]","1.15 [1.05, 1.24]","1.46 [1.31, 1.61]"
"6","C_total","Wald","0.91 [0.82, 1.01]","1.15 [1.03, 1.27]","1.46 [1.29, 1.65]"
"7","N_total","boot","1.07 [0.99, 1.14]","1.08 [1.01, 1.16]","1.22 [1.12, 1.33]"
"8","N_total","Wald","1.07 [0.98, 1.16]","1.08 [0.99, 1.18]","1.22 [1.11, 1.35]"
"9","P_total","boot","1.43 [1.25, 1.6]","1.01 [0.88, 1.13]","0.82 [0.7, 0.94]"
"10","P_total","Wald","1.43 [1.23, 1.65]","1.01 [0.87, 1.16]","0.82 [0.69, 0.97]"
