dna_code_noi5;dna_code;dna_region;code;landuse;unique_site;location;texture;i5_code
N1;i5.N1;18S;VB008;Grassland;2;Haarzuilens;Klei;i5.84
N2;i5.N2;18S;VB098;Forest;17;Sint-Truiden;Leem;i5.362
N3;i5.N3;18S;VB047;Food_forest;8;Boelenslaan;Zand;i5.96
N4;i5.N4;18S;VB011;Grassland;2;Haarzuilens;Klei;i5.125
N5;i5.N5;18S;VB124;Food_forest;21;Amsterdam;Klei;i5.190
N6;i5.N6;18S;VB093;Food_forest;16;Sint-Truiden;Leem;i5.107
N7;i5.N7;18S;VB023;Arable_field;4;Haarzuilens;Klei;i5.94
N8;i5.N8;18S;VB143;Grassland;24;Swalmen;Zand;i5.134
N9;i5.N9;18S;VB034;Grassland;6;Vlaardingen;Klei;i5.49
N10;i5.N10;18S;VB133;Forest;23;Swalmen;Zand;i5.31
N11;i5.N11;18S;VB078;Forest;13;Groesbeek;Leem;i5.133
N12;i5.N12;18S;VB116;Grassland;20;Amsterdam;Klei;i5.52
N13;i5.N13;18S;VB024;Arable_field;4;Haarzuilens;Klei;i5.9
N14;i5.N14;18S;VB137;Forest;23;Swalmen;Zand;i5.10
N15;i5.N15;18S;VB117;Grassland;20;Amsterdam;Klei;i5.16
N16;i5.N16;18S;VB131;Forest;22;Amsterdam;Klei;i5.180
N17;i5.N17;18S;VB122;Food_forest;21;Amsterdam;Klei;i5.34
N18;i5.N18;18S;VB146;Food_forest;25;Swalmen;Zand;i5.40
N19;i5.N19;18S;VB138;Forest;23;Swalmen;Zand;i5.156
N20;i5.N20;18S;VB012;Grassland;2;Haarzuilens;Klei;i5.79
N21;i5.N21;18S;VB099;Forest;17;Sint-Truiden;Leem;i5.155
N22;i5.N22;18S;VB088;Food_forest;15;Groesbeek;Leem;i5.103
N23;i5.N23;18S;VB049;Grassland;9;Boelenslaan;Zand;i5.38
N24;i5.N24;18S;VB136;Forest;23;Swalmen;Zand;i5.173
N25;i5.N25;18S;VB072;Arable_field;12;Groesbeek;Leem;i5.109
N26;i5.N26;18S;VB046;Food_forest;8;Boelenslaan;Zand;i5.157
N27;i5.N27;18S;VB022;Arable_field;4;Haarzuilens;Klei;i5.73
N28;i5.N28;18S;VB103;Grassland;18;Sint-Truiden;Leem;i5.29
N29;i5.N29;18S;VB111;Arable_field;19;Sint-Truiden;Leem;i5.128
N30;i5.N30;18S;VB115;Grassland;20;Amsterdam;Klei;i5.140
N31;i5.N31;18S;VB061;Food_forest;11;Boelenslaan;Zand;i5.163
N32;i5.N32;18S;VB003;Food_forest;1;Haarzuilens;Klei;i5.183
N33;i5.N33;18S;VB030;Forest;5;Vlaardingen;Klei;i5.27
N34;i5.N34;18S;VB110;Arable_field;19;Sint-Truiden;Leem;i5.145
N35;i5.N35;18S;VB041;Food_forest;7;Vlaardingen;Klei;i5.11
N36;i5.N36;18S;VB055;Food_forest;10;Boelenslaan;Zand;i5.50
N37;i5.N37;18S;VB086;Food_forest;15;Groesbeek;Leem;i5.126
N38;i5.N38;18S;VB101;Forest;17;Sint-Truiden;Leem;i5.78
N39;i5.N39;18S;VB019;Arable_field;4;Haarzuilens;Klei;i5.127
N40;i5.N40;18S;VB132;Forest;22;Amsterdam;Klei;i5.143
N41;i5.N41;18S;VB050;Grassland;9;Boelenslaan;Zand;i5.120
N42;i5.N42;18S;VB043;Food_forest;8;Boelenslaan;Zand;i5.160
N43;i5.N43;18S;VB036;Grassland;6;Vlaardingen;Klei;i5.171
N44;i5.N44;18S;VB020;Arable_field;4;Haarzuilens;Klei;i5.97
N45;i5.N45;18S;VB039;Food_forest;7;Vlaardingen;Klei;i5.136
N46;i5.N46;18S;VB053;Grassland;9;Boelenslaan;Zand;i5.48
N47;i5.N47;18S;VB045;Food_forest;8;Boelenslaan;Zand;i5.361
N48;i5.N48;18S;VB089;Food_forest;15;Groesbeek;Leem;i5.169
N49;i5.N49;18S;VB100;Forest;17;Sint-Truiden;Leem;i5.184
N50;i5.N50;18S;VB112;Arable_field;19;Sint-Truiden;Leem;i5.168
N51;i5.N51;18S;VB060;Food_forest;10;Boelenslaan;Zand;i5.150
N52;i5.N52;18S;VB054;Grassland;9;Boelenslaan;Zand;i5.81
