dna_code_noi5;dna_code;dna_region;code;landuse;unique_site;location;texture
149;i5.149;18S;VB063;Forest;11;Boelenslaan;Zand
2;i5.2;18S;VB150;Food_forest;25;Swalmen;Zand
150;i5.150;18S;VB060;Food_forest;10;Boelenslaan;Zand
151;i5.151;18S;VB149;Food_forest;25;Swalmen;Zand
5;i5.5;18S;VB044;Food_forest;8;Boelenslaan;Zand
6;i5.6;18S;VB075;Forest;13;Groesbeek;Leem
7;i5.7;18S;VB071;Arable_field;12;Groesbeek;Leem
8;i5.8;18S;VB127;Forest;22;Amsterdam;Klei
9;i5.9;18S;VB024;Arable_field;4;Haarzuilens;Klei
10;i5.10;18S;VB137;Forest;23;Swalmen;Zand
11;i5.11;18S;VB041;Food_forest;7;Vlaardingen;Klei
12;i5.12;18S;VB113;Arable_field;19;Sint-Truiden;Leem
13;i5.13;18S;VB013;Forest;3;Haarzuilens;Klei
152;i5.152;18S;VB064;Forest;11;Boelenslaan;Zand
15;i5.15;18S;VB028;Forest;5;Vlaardingen;Klei
16;i5.16;18S;VB117;Grassland;20;Amsterdam;Klei
17;i5.17;18S;VB128;Forest;22;Amsterdam;Klei
18;i5.18;18S;VB002;Food_forest;1;Haarzuilens;Klei
19;i5.19;18S;VB081;Grassland;14;Groesbeek;Leem
153;i5.153;18S;VB077;Forest;13;Groesbeek;Leem
154;i5.154;18S;VB147;Food_forest;25;Swalmen;Zand
155;i5.155;18S;VB099;Forest;17;Sint-Truiden;Leem
156;i5.156;18S;VB138;Forest;23;Swalmen;Zand
24;i5.24;18S;VB068;Arable_field;12;Groesbeek;Leem
157;i5.157;18S;VB046;Food_forest;8;Boelenslaan;Zand
26;i5.26;18S;VB084;Grassland;14;Groesbeek;Leem
27;i5.27;18S;VB030;Forest;5;Vlaardingen;Klei
158;i5.158;18S;VB059;Food_forest;10;Boelenslaan;Zand
29;i5.29;18S;VB103;Grassland;18;Sint-Truiden;Leem
159;i5.159;18S;VB125;Food_forest;21;Amsterdam;Klei
31;i5.31;18S;VB133;Forest;23;Swalmen;Zand
160;i5.160;18S;VB043;Food_forest;8;Boelenslaan;Zand
161;i5.161;18S;VB006;Food_forest;1;Haarzuilens;Klei
34;i5.34;18S;VB122;Food_forest;21;Amsterdam;Klei
162;i5.162;18S;VB062;Forest;11;Boelenslaan;Zand
36;i5.36;18S;VB010;Grassland;2;Haarzuilens;Klei
37;i5.37;18S;VB129;Forest;22;Amsterdam;Klei
38;i5.38;18S;VB049;Grassland;9;Boelenslaan;Zand
39;i5.39;18S;VB105;Grassland;18;Sint-Truiden;Leem
40;i5.40;18S;VB146;Food_forest;25;Swalmen;Zand
163;i5.163;18S;VB061;Food_forest;11;Boelenslaan;Zand
164;i5.164;18S;VB119;Grassland;20;Amsterdam;Klei
43;i5.43;18S;VB021;Arable_field;4;Haarzuilens;Klei
359;i5.359;18S;VB141;Grassland;24;Swalmen;Zand
166;i5.166;18S;VB123;Food_forest;21;Amsterdam;Klei
167;i5.167;18S;VB087;Food_forest;15;Groesbeek;Leem
47;i5.47;18S;VB097;Forest;17;Sint-Truiden;Leem
48;i5.48;18S;VB053;Grassland;9;Boelenslaan;Zand
49;i5.49;18S;VB034;Grassland;6;Vlaardingen;Klei
50;i5.50;18S;VB055;Food_forest;10;Boelenslaan;Zand
168;i5.168;18S;VB112;Arable_field;19;Sint-Truiden;Leem
52;i5.52;18S;VB116;Grassland;20;Amsterdam;Klei
53;i5.53;18S;VB035;Grassland;6;Vlaardingen;Klei
54;i5.54;18S;VB042;Food_forest;7;Vlaardingen;Klei
55;i5.55;18S;VB037;Food_forest;7;Vlaardingen;Klei
56;i5.56;18S;VB070;Arable_field;12;Groesbeek;Leem
169;i5.169;18S;VB089;Food_forest;15;Groesbeek;Leem
58;i5.58;18S;VB106;Grassland;18;Sint-Truiden;Leem
59;i5.59;18S;VB082;Grassland;14;Groesbeek;Leem
60;i5.60;18S;VB073;Forest;13;Groesbeek;Leem
360;i5.360;18S;VB135;Forest;23;Swalmen;Zand
62;i5.62;18S;VB014;Forest;3;Haarzuilens;Klei
63;i5.63;18S;VB118;Grassland;20;Amsterdam;Klei
171;i5.171;18S;VB036;Grassland;6;Vlaardingen;Klei
65;i5.65;18S;VB052;Grassland;9;Boelenslaan;Zand
173;i5.173;18S;VB136;Forest;23;Swalmen;Zand
67;i5.67;18S;VB048;Food_forest;8;Boelenslaan;Zand
68;i5.68;18S;VB076;Forest;13;Groesbeek;Leem
69;i5.69;18S;VB109;Arable_field;19;Sint-Truiden;Leem
361;i5.361;18S;VB045;Food_forest;8;Boelenslaan;Zand
175;i5.175;18S;VB026;Forest;5;Vlaardingen;Klei
72;i5.72;18S;VB085;Food_forest;15;Groesbeek;Leem
73;i5.73;18S;VB022;Arable_field;4;Haarzuilens;Klei
74;i5.74;18S;VB091;Food_forest;16;Sint-Truiden;Leem
362;i5.362;18S;VB098;Forest;17;Sint-Truiden;Leem
177;i5.177;18S;VB032;Grassland;6;Vlaardingen;Klei
77;i5.77;18S;VB057;Food_forest;10;Boelenslaan;Zand
78;i5.78;18S;VB101;Forest;17;Sint-Truiden;Leem
79;i5.79;18S;VB012;Grassland;2;Haarzuilens;Klei
80;i5.80;18S;VB031;Grassland;6;Vlaardingen;Klei
81;i5.81;18S;VB054;Grassland;9;Boelenslaan;Zand
82;i5.82;18S;VB040;Food_forest;7;Vlaardingen;Klei
83;i5.83;18S;VB126;Food_forest;21;Amsterdam;Klei
84;i5.84;18S;VB008;Grassland;2;Haarzuilens;Klei
178;i5.178;18S;VB066;Forest;11;Boelenslaan;Zand
86;i5.86;18S;VB144;Grassland;24;Swalmen;Zand
364;i5.364;18S;VB102;Forest;17;Sint-Truiden;Leem
88;i5.88;18S;VB065;Forest;11;Boelenslaan;Zand
180;i5.180;18S;VB131;Forest;22;Amsterdam;Klei
90;i5.90;18S;VB114;Arable_field;19;Sint-Truiden;Leem
181;i5.181;18S;VB148;Food_forest;25;Swalmen;Zand
365;i5.365;18S;VB058;Food_forest;10;Boelenslaan;Zand
183;i5.183;18S;VB003;Food_forest;1;Haarzuilens;Klei
94;i5.94;18S;VB023;Arable_field;4;Haarzuilens;Klei
95;i5.95;18S;VB090;Food_forest;15;Groesbeek;Leem
96;i5.96;18S;VB047;Food_forest;8;Boelenslaan;Zand
97;i5.97;18S;VB020;Arable_field;4;Haarzuilens;Klei
98;i5.98;18S;VB001;Food_forest;1;Haarzuilens;Klei
99;i5.99;18S;VB095;Food_forest;16;Sint-Truiden;Leem
184;i5.184;18S;VB100;Forest;17;Sint-Truiden;Leem
366;i5.366;18S;VB067;Arable_field;12;Groesbeek;Leem
102;i5.102;18S;VB038;Food_forest;7;Vlaardingen;Klei
103;i5.103;18S;VB088;Food_forest;15;Groesbeek;Leem
104;i5.104;18S;VB027;Forest;5;Vlaardingen;Klei
105;i5.105;18S;VB029;Forest;5;Vlaardingen;Klei
367;i5.367;18S;VB139;Grassland;24;Swalmen;Zand
107;i5.107;18S;VB093;Food_forest;16;Sint-Truiden;Leem
108;i5.108;18S;VB120;Grassland;20;Amsterdam;Klei
109;i5.109;18S;VB072;Arable_field;12;Groesbeek;Leem
187;i5.187;18S;VB121;Food_forest;21;Amsterdam;Klei
111;i5.111;18S;VB015;Forest;3;Haarzuilens;Klei
112;i5.112;18S;VB004;Food_forest;1;Haarzuilens;Klei
113;i5.113;18S;VB092;Food_forest;16;Sint-Truiden;Leem
114;i5.114;18S;VB018;Forest;3;Haarzuilens;Klei
368;i5.368;18S;VB056;Food_forest;10;Boelenslaan;Zand
116;i5.116;18S;VB145;Food_forest;25;Swalmen;Zand
117;i5.117;18S;VB025;Forest;5;Vlaardingen;Klei
369;i5.369;18S;VB142;Grassland;24;Swalmen;Zand
119;i5.119;18S;VB017;Forest;3;Haarzuilens;Klei
120;i5.120;18S;VB050;Grassland;9;Boelenslaan;Zand
190;i5.190;18S;VB124;Food_forest;21;Amsterdam;Klei
122;i5.122;18S;VB108;Grassland;18;Sint-Truiden;Leem
370;i5.370;18S;VB130;Forest;22;Amsterdam;Klei
124;i5.124;18S;VB104;Grassland;18;Sint-Truiden;Leem
125;i5.125;18S;VB011;Grassland;2;Haarzuilens;Klei
126;i5.126;18S;VB086;Food_forest;15;Groesbeek;Leem
127;i5.127;18S;VB019;Arable_field;4;Haarzuilens;Klei
128;i5.128;18S;VB111;Arable_field;19;Sint-Truiden;Leem
129;i5.129;18S;VB107;Grassland;18;Sint-Truiden;Leem
