i5_code;i5;dna_code;dna_region;code;texture;location;unique_site;landuse
i5.149;i5.;149;ITS;VB063;Zand;Boelenslaan;11;Forest
i5.2;i5.;2;ITS;VB150;Zand;Swalmen;25;Food_forest
i5.150;i5.;150;ITS;VB060;Zand;Boelenslaan;10;Food_forest
i5.151;i5.;151;ITS;VB149;Zand;Swalmen;25;Food_forest
i5.5;i5.;5;ITS;VB044;Zand;Boelenslaan;8;Food_forest
i5.6;i5.;6;ITS;VB075;Leem;Groesbeek;13;Forest
i5.7;i5.;7;ITS;VB071;Leem;Groesbeek;12;Arable_field
i5.8;i5.;8;ITS;VB127;Klei;Amsterdam;22;Forest
i5.9;i5.;9;ITS;VB024;Klei;Haarzuilens;4;Arable_field
i5.10;i5.;10;ITS;VB137;Zand;Swalmen;23;Forest
i5.11;i5.;11;ITS;VB041;Klei;Vlaardingen;7;Food_forest
i5.12;i5.;12;ITS;VB113;Leem;Sint-Truiden;19;Arable_field
i5.13;i5.;13;ITS;VB013;Klei;Haarzuilens;3;Forest
i5.152;i5.;152;ITS;VB064;Zand;Boelenslaan;11;Forest
i5.15;i5.;15;ITS;VB028;Klei;Vlaardingen;5;Forest
i5.16;i5.;16;ITS;VB117;Klei;Amsterdam;20;Grassland
i5.17;i5.;17;ITS;VB128;Klei;Amsterdam;22;Forest
i5.18;i5.;18;ITS;VB002;Klei;Haarzuilens;1;Food_forest
i5.19;i5.;19;ITS;VB081;Leem;Groesbeek;14;Grassland
i5.153;i5.;153;ITS;VB077;Leem;Groesbeek;13;Forest
i5.154;i5.;154;ITS;VB147;Zand;Swalmen;25;Food_forest
i5.155;i5.;155;ITS;VB099;Leem;Sint-Truiden;17;Forest
i5.156;i5.;156;ITS;VB138;Zand;Swalmen;23;Forest
i5.24;i5.;24;ITS;VB068;Leem;Groesbeek;12;Arable_field
i5.157;i5.;157;ITS;VB046;Zand;Boelenslaan;8;Food_forest
i5.26;i5.;26;ITS;VB084;Leem;Groesbeek;14;Grassland
i5.27;i5.;27;ITS;VB030;Klei;Vlaardingen;5;Forest
i5.158;i5.;158;ITS;VB059;Zand;Boelenslaan;10;Food_forest
i5.29;i5.;29;ITS;VB103;Leem;Sint-Truiden;18;Grassland
i5.159;i5.;159;ITS;VB125;Klei;Amsterdam;21;Food_forest
i5.31;i5.;31;ITS;VB133;Zand;Swalmen;23;Forest
i5.160;i5.;160;ITS;VB043;Zand;Boelenslaan;8;Food_forest
i5.161;i5.;161;ITS;VB006;Klei;Haarzuilens;1;Food_forest
i5.34;i5.;34;ITS;VB122;Klei;Amsterdam;21;Food_forest
i5.162;i5.;162;ITS;VB062;Zand;Boelenslaan;11;Forest
i5.36;i5.;36;ITS;VB010;Klei;Haarzuilens;2;Grassland
i5.37;i5.;37;ITS;VB129;Klei;Amsterdam;22;Forest
i5.38;i5.;38;ITS;VB049;Zand;Boelenslaan;9;Grassland
i5.39;i5.;39;ITS;VB105;Leem;Sint-Truiden;18;Grassland
i5.40;i5.;40;ITS;VB146;Zand;Swalmen;25;Food_forest
i5.163;i5.;163;ITS;VB061;Zand;Boelenslaan;11;Forest
i5.164;i5.;164;ITS;VB119;Klei;Amsterdam;20;Grassland
i5.43;i5.;43;ITS;VB021;Klei;Haarzuilens;4;Arable_field
i5.359;i5.;359;ITS;VB141;Zand;Swalmen;24;Grassland
i5.166;i5.;166;ITS;VB123;Klei;Amsterdam;21;Food_forest
i5.167;i5.;167;ITS;VB087;Leem;Groesbeek;15;Food_forest
i5.47;i5.;47;ITS;VB097;Leem;Sint-Truiden;17;Forest
i5.48;i5.;48;ITS;VB053;Zand;Boelenslaan;9;Grassland
i5.49;i5.;49;ITS;VB034;Klei;Vlaardingen;6;Grassland
i5.50;i5.;50;ITS;VB055;Zand;Boelenslaan;10;Food_forest
i5.168;i5.;168;ITS;VB112;Leem;Sint-Truiden;19;Arable_field
i5.52;i5.;52;ITS;VB116;Klei;Amsterdam;20;Grassland
i5.53;i5.;53;ITS;VB035;Klei;Vlaardingen;6;Grassland
i5.54;i5.;54;ITS;VB042;Klei;Vlaardingen;7;Food_forest
i5.55;i5.;55;ITS;VB037;Klei;Vlaardingen;7;Food_forest
i5.56;i5.;56;ITS;VB070;Leem;Groesbeek;12;Arable_field
i5.169;i5.;169;ITS;VB089;Leem;Groesbeek;15;Food_forest
i5.58;i5.;58;ITS;VB106;Leem;Sint-Truiden;18;Grassland
i5.59;i5.;59;ITS;VB082;Leem;Groesbeek;14;Grassland
i5.60;i5.;60;ITS;VB073;Leem;Groesbeek;13;Forest
i5.360;i5.;360;ITS;VB135;Zand;Swalmen;23;Forest
i5.62;i5.;62;ITS;VB014;Klei;Haarzuilens;3;Forest
i5.63;i5.;63;ITS;VB118;Klei;Amsterdam;20;Grassland
i5.171;i5.;171;ITS;VB036;Klei;Vlaardingen;6;Grassland
i5.65;i5.;65;ITS;VB052;Zand;Boelenslaan;9;Grassland
i5.173;i5.;173;ITS;VB136;Zand;Swalmen;23;Forest
i5.67;i5.;67;ITS;VB048;Zand;Boelenslaan;8;Food_forest
i5.68;i5.;68;ITS;VB076;Leem;Groesbeek;13;Forest
i5.69;i5.;69;ITS;VB109;Leem;Sint-Truiden;19;Arable_field
i5.361;i5.;361;ITS;VB045;Zand;Boelenslaan;8;Food_forest
i5.175;i5.;175;ITS;VB026;Klei;Vlaardingen;5;Forest
i5.72;i5.;72;ITS;VB085;Leem;Groesbeek;15;Food_forest
i5.73;i5.;73;ITS;VB022;Klei;Haarzuilens;4;Arable_field
i5.74;i5.;74;ITS;VB091;Leem;Sint-Truiden;16;Food_forest
i5.362;i5.;362;ITS;VB098;Leem;Sint-Truiden;17;Forest
i5.177;i5.;177;ITS;VB032;Klei;Vlaardingen;6;Grassland
i5.77;i5.;77;ITS;VB057;Zand;Boelenslaan;10;Food_forest
i5.78;i5.;78;ITS;VB101;Leem;Sint-Truiden;17;Forest
i5.79;i5.;79;ITS;VB012;Klei;Haarzuilens;2;Grassland
i5.80;i5.;80;ITS;VB031;Klei;Vlaardingen;6;Grassland
i5.81;i5.;81;ITS;VB054;Zand;Boelenslaan;9;Grassland
i5.82;i5.;82;ITS;VB040;Klei;Vlaardingen;7;Food_forest
i5.83;i5.;83;ITS;VB126;Klei;Amsterdam;21;Food_forest
i5.84;i5.;84;ITS;VB008;Klei;Haarzuilens;2;Grassland
i5.178;i5.;178;ITS;VB066;Zand;Boelenslaan;11;Forest
i5.86;i5.;86;ITS;VB144;Zand;Swalmen;24;Grassland
i5.364;i5.;364;ITS;VB102;Leem;Sint-Truiden;17;Forest
i5.88;i5.;88;ITS;VB065;Zand;Boelenslaan;11;Forest
i5.180;i5.;180;ITS;VB131;Klei;Amsterdam;22;Forest
i5.90;i5.;90;ITS;VB114;Leem;Sint-Truiden;19;Arable_field
i5.181;i5.;181;ITS;VB148;Zand;Swalmen;25;Food_forest
i5.365;i5.;365;ITS;VB058;Zand;Boelenslaan;10;Food_forest
i5.183;i5.;183;ITS;VB003;Klei;Haarzuilens;1;Food_forest
i5.94;i5.;94;ITS;VB023;Klei;Haarzuilens;4;Arable_field
i5.95;i5.;95;ITS;VB090;Leem;Groesbeek;15;Food_forest
i5.96;i5.;96;ITS;VB047;Zand;Boelenslaan;8;Food_forest
i5.97;i5.;97;ITS;VB020;Klei;Haarzuilens;4;Arable_field
i5.98;i5.;98;ITS;VB001;Klei;Haarzuilens;1;Food_forest
i5.99;i5.;99;ITS;VB095;Leem;Sint-Truiden;16;Food_forest
i5.184;i5.;184;ITS;VB100;Leem;Sint-Truiden;17;Forest
i5.366;i5.;366;ITS;VB067;Leem;Groesbeek;12;Arable_field
i5.102;i5.;102;ITS;VB038;Klei;Vlaardingen;7;Food_forest
i5.103;i5.;103;ITS;VB088;Leem;Groesbeek;15;Food_forest
i5.104;i5.;104;ITS;VB027;Klei;Vlaardingen;5;Forest
i5.105;i5.;105;ITS;VB029;Klei;Vlaardingen;5;Forest
i5.367;i5.;367;ITS;VB139;Zand;Swalmen;24;Grassland
i5.107;i5.;107;ITS;VB093;Leem;Sint-Truiden;16;Food_forest
i5.108;i5.;108;ITS;VB120;Klei;Amsterdam;20;Grassland
i5.109;i5.;109;ITS;VB072;Leem;Groesbeek;12;Arable_field
i5.187;i5.;187;ITS;VB121;Klei;Amsterdam;21;Food_forest
i5.111;i5.;111;ITS;VB015;Klei;Haarzuilens;3;Forest
i5.112;i5.;112;ITS;VB004;Klei;Haarzuilens;1;Food_forest
i5.113;i5.;113;ITS;VB092;Leem;Sint-Truiden;16;Food_forest
